start_id,start_vertex_type,end_id,end_vertex_type
3,TreeNode,2,TreeNode
6,TreeNode,3,TreeNode
4,TreeNode,2,TreeNode
7,TreeNode,4,TreeNode
10,TreeNode,7,TreeNode
19,TreeNode,10,TreeNode
25,TreeNode,19,TreeNode
42,TreeNode,25,TreeNode
54,TreeNode,42,TreeNode
117,TreeNode,54,TreeNode
118,TreeNode,54,TreeNode
147,TreeNode,118,TreeNode
148,TreeNode,118,TreeNode
149,TreeNode,118,TreeNode
119,TreeNode,54,TreeNode
189,TreeNode,119,TreeNode
190,TreeNode,119,TreeNode
55,TreeNode,42,TreeNode
81,TreeNode,55,TreeNode
82,TreeNode,55,TreeNode
83,TreeNode,55,TreeNode
140,TreeNode,83,TreeNode
141,TreeNode,83,TreeNode
26,TreeNode,19,TreeNode
47,TreeNode,26,TreeNode
56,TreeNode,47,TreeNode
96,TreeNode,56,TreeNode
196,TreeNode,96,TreeNode
97,TreeNode,56,TreeNode
48,TreeNode,26,TreeNode
57,TreeNode,48,TreeNode
84,TreeNode,57,TreeNode
165,TreeNode,84,TreeNode
166,TreeNode,84,TreeNode
167,TreeNode,84,TreeNode
58,TreeNode,48,TreeNode
110,TreeNode,58,TreeNode
162,TreeNode,110,TreeNode
163,TreeNode,110,TreeNode
164,TreeNode,110,TreeNode
111,TreeNode,58,TreeNode
135,TreeNode,111,TreeNode
136,TreeNode,111,TreeNode
137,TreeNode,111,TreeNode
8,TreeNode,4,TreeNode
9,TreeNode,4,TreeNode
11,TreeNode,9,TreeNode
14,TreeNode,11,TreeNode
15,TreeNode,11,TreeNode
23,TreeNode,15,TreeNode
35,TreeNode,23,TreeNode
59,TreeNode,35,TreeNode
36,TreeNode,23,TreeNode
60,TreeNode,36,TreeNode
101,TreeNode,60,TreeNode
130,TreeNode,101,TreeNode
131,TreeNode,101,TreeNode
132,TreeNode,101,TreeNode
102,TreeNode,60,TreeNode
179,TreeNode,102,TreeNode
180,TreeNode,102,TreeNode
181,TreeNode,102,TreeNode
103,TreeNode,60,TreeNode
169,TreeNode,103,TreeNode
170,TreeNode,103,TreeNode
171,TreeNode,103,TreeNode
61,TreeNode,36,TreeNode
24,TreeNode,15,TreeNode
16,TreeNode,11,TreeNode
29,TreeNode,16,TreeNode
43,TreeNode,29,TreeNode
69,TreeNode,43,TreeNode
70,TreeNode,43,TreeNode
120,TreeNode,70,TreeNode
182,TreeNode,120,TreeNode
183,TreeNode,120,TreeNode
184,TreeNode,120,TreeNode
71,TreeNode,43,TreeNode
94,TreeNode,71,TreeNode
129,TreeNode,94,TreeNode
95,TreeNode,71,TreeNode
150,TreeNode,95,TreeNode
151,TreeNode,95,TreeNode
152,TreeNode,95,TreeNode
44,TreeNode,29,TreeNode
77,TreeNode,44,TreeNode
109,TreeNode,77,TreeNode
