start_id,start_vertex_type,end_id,end_vertex_type
3,TreeNode,2,TreeNode
4,TreeNode,2,TreeNode
5,TreeNode,4,TreeNode
7,TreeNode,5,TreeNode
8,TreeNode,5,TreeNode
6,TreeNode,4,TreeNode
9,TreeNode,6,TreeNode
10,TreeNode,6,TreeNode
12,TreeNode,11,TreeNode
14,TreeNode,13,TreeNode
16,TreeNode,14,TreeNode
17,TreeNode,16,TreeNode
18,TreeNode,16,TreeNode
15,TreeNode,13,TreeNode
20,TreeNode,19,TreeNode
21,TreeNode,20,TreeNode
23,TreeNode,22,TreeNode
25,TreeNode,24,TreeNode
26,TreeNode,25,TreeNode
27,TreeNode,25,TreeNode
29,TreeNode,28,TreeNode
30,TreeNode,28,TreeNode
32,TreeNode,31,TreeNode
33,TreeNode,32,TreeNode
35,TreeNode,33,TreeNode
34,TreeNode,32,TreeNode
37,TreeNode,36,TreeNode
38,TreeNode,36,TreeNode
40,TreeNode,39,TreeNode
