id,type,string_id,height,depth
2,TreeNode,1,3,0
3,TreeNode,1.1,0,1
4,TreeNode,1.2,2,1
5,TreeNode,1.2.1,1,2
7,TreeNode,1.2.1.1,0,3
8,TreeNode,1.2.1.2,0,3
6,TreeNode,1.2.2,1,2
9,TreeNode,1.2.2.1,0,3
10,TreeNode,1.2.2.2,0,3
11,TreeNode,2,1,0
12,TreeNode,2.1,0,1
13,TreeNode,3,3,0
14,TreeNode,3.1,2,1
16,TreeNode,3.1.1,1,2
17,TreeNode,3.1.1.1,0,3
18,TreeNode,3.1.1.2,0,3
15,TreeNode,3.2,0,1
19,TreeNode,4,2,0
20,TreeNode,4.1,1,1
21,TreeNode,4.1.1,0,2
22,TreeNode,5,1,0
23,TreeNode,5.1,0,1
24,TreeNode,6,2,0
25,TreeNode,6.1,1,1
26,TreeNode,6.1.1,0,2
27,TreeNode,6.1.2,0,2
28,TreeNode,7,1,0
29,TreeNode,7.1,0,1
30,TreeNode,7.2,0,1
31,TreeNode,8,3,0
32,TreeNode,8.1,2,1
33,TreeNode,8.1.1,1,2
35,TreeNode,8.1.1.1,0,3
34,TreeNode,8.1.2,0,2
36,TreeNode,9,1,0
37,TreeNode,9.1,0,1
38,TreeNode,9.2,0,1
39,TreeNode,10,1,0
40,TreeNode,10.1,0,1
41,TreeNode,11,0,0
