id,type,integer_id,upper_bound,height,depth
2,TreeNode,1,18,3,0
3,TreeNode,2,3,0,1
4,TreeNode,4,17,2,1
5,TreeNode,5,10,1,2
7,TreeNode,6,7,0,3
8,TreeNode,8,9,0,3
6,TreeNode,11,16,1,2
9,TreeNode,12,13,0,3
10,TreeNode,14,15,0,3
11,TreeNode,19,22,1,0
12,TreeNode,20,21,0,1
13,TreeNode,23,34,3,0
14,TreeNode,24,31,2,1
16,TreeNode,25,30,1,2
17,TreeNode,26,27,0,3
18,TreeNode,28,29,0,3
15,TreeNode,32,33,0,1
19,TreeNode,35,40,2,0
20,TreeNode,36,39,1,1
21,TreeNode,37,38,0,2
22,TreeNode,41,44,1,0
23,TreeNode,42,43,0,1
24,TreeNode,45,52,2,0
25,TreeNode,46,51,1,1
26,TreeNode,47,48,0,2
27,TreeNode,49,50,0,2
28,TreeNode,53,58,1,0
29,TreeNode,54,55,0,1
30,TreeNode,56,57,0,1
31,TreeNode,59,68,3,0
32,TreeNode,60,67,2,1
33,TreeNode,61,64,1,2
35,TreeNode,62,63,0,3
34,TreeNode,65,66,0,2
36,TreeNode,69,74,1,0
37,TreeNode,70,71,0,1
38,TreeNode,72,73,0,1
39,TreeNode,75,78,1,0
40,TreeNode,76,77,0,1
41,TreeNode,79,80,0,0
