id,type,string_id,height,depth
1,TreeNode,1,8,0
2,TreeNode,1.1,1,1
6,TreeNode,1.1.1,0,2
3,TreeNode,1.2,7,1
7,TreeNode,1.2.1,1,2
36,TreeNode,1.2.1.1,0,3
37,TreeNode,1.2.1.2,0,3
38,TreeNode,1.2.1.3,0,3
39,TreeNode,1.2.1.4,0,3
8,TreeNode,1.2.2,6,2
16,TreeNode,1.2.2.1,3,3
56,TreeNode,1.2.2.1.1,2,4
95,TreeNode,1.2.2.1.1.1,0,5
96,TreeNode,1.2.2.1.1.2,0,5
97,TreeNode,1.2.2.1.1.3,1,5
98,TreeNode,1.2.2.1.1.3.1,0,6
99,TreeNode,1.2.2.1.1.3.2,0,6
100,TreeNode,1.2.2.1.1.3.3,0,6
57,TreeNode,1.2.2.1.2,0,4
58,TreeNode,1.2.2.1.3,0,4
17,TreeNode,1.2.2.2,5,3
20,TreeNode,1.2.2.2.1,4,4
26,TreeNode,1.2.2.2.1.1,3,5
67,TreeNode,1.2.2.2.1.1.1,0,6
68,TreeNode,1.2.2.2.1.1.2,0,6
69,TreeNode,1.2.2.2.1.1.3,2,6
75,TreeNode,1.2.2.2.1.1.3.1,0,7
76,TreeNode,1.2.2.2.1.1.3.2,0,7
77,TreeNode,1.2.2.2.1.1.3.3,1,7
86,TreeNode,1.2.2.2.1.1.3.3.1,0,8
70,TreeNode,1.2.2.2.1.1.4,1,6
87,TreeNode,1.2.2.2.1.1.4.1,0,7
88,TreeNode,1.2.2.2.1.1.4.2,0,7
27,TreeNode,1.2.2.2.1.2,0,5
28,TreeNode,1.2.2.2.1.3,2,5
43,TreeNode,1.2.2.2.1.3.1,1,6
46,TreeNode,1.2.2.2.1.3.1.1,0,7
44,TreeNode,1.2.2.2.1.3.2,0,6
45,TreeNode,1.2.2.2.1.3.3,1,6
59,TreeNode,1.2.2.2.1.3.3.1,0,7
60,TreeNode,1.2.2.2.1.3.3.2,0,7
29,TreeNode,1.2.2.2.1.4,0,5
21,TreeNode,1.2.2.2.2,3,4
23,TreeNode,1.2.2.2.2.1,2,5
65,TreeNode,1.2.2.2.2.1.1,1,6
89,TreeNode,1.2.2.2.2.1.1.1,0,7
90,TreeNode,1.2.2.2.2.1.1.2,0,7
66,TreeNode,1.2.2.2.2.1.2,0,6
22,TreeNode,1.2.2.2.3,3,4
24,TreeNode,1.2.2.2.3.1,2,5
35,TreeNode,1.2.2.2.3.1.1,1,6
51,TreeNode,1.2.2.2.3.1.1.1,0,7
25,TreeNode,1.2.2.2.3.2,0,5
18,TreeNode,1.2.2.3,0,3
19,TreeNode,1.2.2.4,2,3
30,TreeNode,1.2.2.4.1,0,4
31,TreeNode,1.2.2.4.2,0,4
32,TreeNode,1.2.2.4.3,1,4
78,TreeNode,1.2.2.4.3.1,0,5
79,TreeNode,1.2.2.4.3.2,0,5
80,TreeNode,1.2.2.4.3.3,0,5
4,TreeNode,1.3,0,1
5,TreeNode,1.4,7,1
9,TreeNode,1.4.1,6,2
10,TreeNode,1.4.1.1,0,3
11,TreeNode,1.4.1.2,5,3
12,TreeNode,1.4.1.2.1,2,4
33,TreeNode,1.4.1.2.1.1,1,5
91,TreeNode,1.4.1.2.1.1.1,0,6
92,TreeNode,1.4.1.2.1.1.2,0,6
93,TreeNode,1.4.1.2.1.1.3,0,6
94,TreeNode,1.4.1.2.1.1.4,0,6
34,TreeNode,1.4.1.2.1.2,1,5
62,TreeNode,1.4.1.2.1.2.1,0,6
63,TreeNode,1.4.1.2.1.2.2,0,6
64,TreeNode,1.4.1.2.1.2.3,0,6
13,TreeNode,1.4.1.2.2,4,4
40,TreeNode,1.4.1.2.2.1,0,5
41,TreeNode,1.4.1.2.2.2,3,5
47,TreeNode,1.4.1.2.2.2.1,0,6
48,TreeNode,1.4.1.2.2.2.2,0,6
49,TreeNode,1.4.1.2.2.2.3,0,6
50,TreeNode,1.4.1.2.2.2.4,2,6
52,TreeNode,1.4.1.2.2.2.4.1,1,7
81,TreeNode,1.4.1.2.2.2.4.1.1,0,8
82,TreeNode,1.4.1.2.2.2.4.1.2,0,8
53,TreeNode,1.4.1.2.2.2.4.2,0,7
54,TreeNode,1.4.1.2.2.2.4.3,0,7
55,TreeNode,1.4.1.2.2.2.4.4,0,7
42,TreeNode,1.4.1.2.2.3,2,5
71,TreeNode,1.4.1.2.2.3.1,0,6
72,TreeNode,1.4.1.2.2.3.2,0,6
73,TreeNode,1.4.1.2.2.3.3,0,6
74,TreeNode,1.4.1.2.2.3.4,1,6
83,TreeNode,1.4.1.2.2.3.4.1,0,7
84,TreeNode,1.4.1.2.2.3.4.2,0,7
85,TreeNode,1.4.1.2.2.3.4.3,0,7
14,TreeNode,1.4.1.2.3,0,4
15,TreeNode,1.4.1.2.4,1,4
61,TreeNode,1.4.1.2.4.1,0,5
