id,type,integer_id,upper_bound,height,depth
1,TreeNode,1,200,8,0
2,TreeNode,2,5,1,1
6,TreeNode,3,4,0,2
3,TreeNode,6,121,7,1
7,TreeNode,7,16,1,2
36,TreeNode,8,9,0,3
37,TreeNode,10,11,0,3
38,TreeNode,12,13,0,3
39,TreeNode,14,15,0,3
8,TreeNode,17,120,6,2
16,TreeNode,18,37,3,3
56,TreeNode,19,32,2,4
95,TreeNode,20,21,0,5
96,TreeNode,22,23,0,5
97,TreeNode,24,31,1,5
98,TreeNode,25,26,0,6
99,TreeNode,27,28,0,6
100,TreeNode,29,30,0,6
57,TreeNode,33,34,0,4
58,TreeNode,35,36,0,4
17,TreeNode,38,103,5,3
20,TreeNode,39,80,4,4
26,TreeNode,40,61,3,5
67,TreeNode,41,42,0,6
68,TreeNode,43,44,0,6
69,TreeNode,45,54,2,6
75,TreeNode,46,47,0,7
76,TreeNode,48,49,0,7
77,TreeNode,50,53,1,7
86,TreeNode,51,52,0,8
70,TreeNode,55,60,1,6
87,TreeNode,56,57,0,7
88,TreeNode,58,59,0,7
27,TreeNode,62,63,0,5
28,TreeNode,64,77,2,5
43,TreeNode,65,68,1,6
46,TreeNode,66,67,0,7
44,TreeNode,69,70,0,6
45,TreeNode,71,76,1,6
59,TreeNode,72,73,0,7
60,TreeNode,74,75,0,7
29,TreeNode,78,79,0,5
21,TreeNode,81,92,3,4
23,TreeNode,82,91,2,5
65,TreeNode,83,88,1,6
89,TreeNode,84,85,0,7
90,TreeNode,86,87,0,7
66,TreeNode,89,90,0,6
22,TreeNode,93,102,3,4
24,TreeNode,94,99,2,5
35,TreeNode,95,98,1,6
51,TreeNode,96,97,0,7
25,TreeNode,100,101,0,5
18,TreeNode,104,105,0,3
19,TreeNode,106,119,2,3
30,TreeNode,107,108,0,4
31,TreeNode,109,110,0,4
32,TreeNode,111,118,1,4
78,TreeNode,112,113,0,5
79,TreeNode,114,115,0,5
80,TreeNode,116,117,0,5
4,TreeNode,122,123,0,1
5,TreeNode,124,199,7,1
9,TreeNode,125,198,6,2
10,TreeNode,126,127,0,3
11,TreeNode,128,197,5,3
12,TreeNode,129,148,2,4
33,TreeNode,130,139,1,5
91,TreeNode,131,132,0,6
92,TreeNode,133,134,0,6
93,TreeNode,135,136,0,6
94,TreeNode,137,138,0,6
34,TreeNode,140,147,1,5
62,TreeNode,141,142,0,6
63,TreeNode,143,144,0,6
64,TreeNode,145,146,0,6
13,TreeNode,149,190,4,4
40,TreeNode,150,151,0,5
41,TreeNode,152,173,3,5
47,TreeNode,153,154,0,6
48,TreeNode,155,156,0,6
49,TreeNode,157,158,0,6
50,TreeNode,159,172,2,6
52,TreeNode,160,165,1,7
81,TreeNode,161,162,0,8
82,TreeNode,163,164,0,8
53,TreeNode,166,167,0,7
54,TreeNode,168,169,0,7
55,TreeNode,170,171,0,7
42,TreeNode,174,189,2,5
71,TreeNode,175,176,0,6
72,TreeNode,177,178,0,6
73,TreeNode,179,180,0,6
74,TreeNode,181,188,1,6
83,TreeNode,182,183,0,7
84,TreeNode,184,185,0,7
85,TreeNode,186,187,0,7
14,TreeNode,191,192,0,4
15,TreeNode,193,196,1,4
61,TreeNode,194,195,0,5
