start_id,start_vertex_type,end_id,end_vertex_type
2,TreeNode,1,TreeNode
6,TreeNode,2,TreeNode
87,TreeNode,6,TreeNode
88,TreeNode,6,TreeNode
7,TreeNode,2,TreeNode
445,TreeNode,7,TreeNode
446,TreeNode,7,TreeNode
916,TreeNode,446,TreeNode
917,TreeNode,446,TreeNode
918,TreeNode,446,TreeNode
447,TreeNode,7,TreeNode
448,TreeNode,7,TreeNode
8,TreeNode,2,TreeNode
3,TreeNode,1,TreeNode
9,TreeNode,3,TreeNode
34,TreeNode,9,TreeNode
41,TreeNode,34,TreeNode
73,TreeNode,41,TreeNode
74,TreeNode,41,TreeNode
971,TreeNode,74,TreeNode
972,TreeNode,74,TreeNode
973,TreeNode,74,TreeNode
974,TreeNode,74,TreeNode
975,TreeNode,74,TreeNode
75,TreeNode,41,TreeNode
76,TreeNode,41,TreeNode
77,TreeNode,41,TreeNode
475,TreeNode,77,TreeNode
476,TreeNode,77,TreeNode
477,TreeNode,77,TreeNode
768,TreeNode,477,TreeNode
769,TreeNode,477,TreeNode
770,TreeNode,477,TreeNode
771,TreeNode,477,TreeNode
976,TreeNode,771,TreeNode
977,TreeNode,771,TreeNode
772,TreeNode,477,TreeNode
478,TreeNode,77,TreeNode
42,TreeNode,34,TreeNode
142,TreeNode,42,TreeNode
143,TreeNode,42,TreeNode
465,TreeNode,143,TreeNode
466,TreeNode,143,TreeNode
568,TreeNode,466,TreeNode
711,TreeNode,568,TreeNode
712,TreeNode,568,TreeNode
713,TreeNode,568,TreeNode
714,TreeNode,568,TreeNode
715,TreeNode,568,TreeNode
569,TreeNode,466,TreeNode
570,TreeNode,466,TreeNode
571,TreeNode,466,TreeNode
572,TreeNode,466,TreeNode
144,TreeNode,42,TreeNode
145,TreeNode,42,TreeNode
146,TreeNode,42,TreeNode
297,TreeNode,146,TreeNode
651,TreeNode,297,TreeNode
652,TreeNode,297,TreeNode
653,TreeNode,297,TreeNode
654,TreeNode,297,TreeNode
298,TreeNode,146,TreeNode
392,TreeNode,298,TreeNode
393,TreeNode,298,TreeNode
401,TreeNode,393,TreeNode
402,TreeNode,393,TreeNode
403,TreeNode,393,TreeNode
404,TreeNode,393,TreeNode
394,TreeNode,298,TreeNode
669,TreeNode,394,TreeNode
670,TreeNode,394,TreeNode
757,TreeNode,670,TreeNode
758,TreeNode,670,TreeNode
759,TreeNode,670,TreeNode
671,TreeNode,394,TreeNode
395,TreeNode,298,TreeNode
299,TreeNode,146,TreeNode
300,TreeNode,146,TreeNode
505,TreeNode,300,TreeNode
506,TreeNode,300,TreeNode
553,TreeNode,506,TreeNode
554,TreeNode,506,TreeNode
939,TreeNode,554,TreeNode
940,TreeNode,554,TreeNode
941,TreeNode,554,TreeNode
942,TreeNode,554,TreeNode
943,TreeNode,554,TreeNode
555,TreeNode,506,TreeNode
556,TreeNode,506,TreeNode
507,TreeNode,300,TreeNode
508,TreeNode,300,TreeNode
516,TreeNode,508,TreeNode
831,TreeNode,516,TreeNode
832,TreeNode,516,TreeNode
833,TreeNode,516,TreeNode
834,TreeNode,516,TreeNode
835,TreeNode,516,TreeNode
517,TreeNode,508,TreeNode
615,TreeNode,517,TreeNode
616,TreeNode,517,TreeNode
617,TreeNode,517,TreeNode
928,TreeNode,617,TreeNode
929,TreeNode,617,TreeNode
930,TreeNode,617,TreeNode
982,TreeNode,930,TreeNode
983,TreeNode,930,TreeNode
984,TreeNode,930,TreeNode
985,TreeNode,930,TreeNode
986,TreeNode,930,TreeNode
618,TreeNode,517,TreeNode
619,TreeNode,517,TreeNode
509,TreeNode,300,TreeNode
301,TreeNode,146,TreeNode
43,TreeNode,34,TreeNode
44,TreeNode,34,TreeNode
35,TreeNode,9,TreeNode
50,TreeNode,35,TreeNode
319,TreeNode,50,TreeNode
320,TreeNode,50,TreeNode
796,TreeNode,320,TreeNode
797,TreeNode,320,TreeNode
798,TreeNode,320,TreeNode
51,TreeNode,35,TreeNode
83,TreeNode,51,TreeNode
84,TreeNode,51,TreeNode
176,TreeNode,84,TreeNode
288,TreeNode,176,TreeNode
682,TreeNode,288,TreeNode
683,TreeNode,288,TreeNode
684,TreeNode,288,TreeNode
685,TreeNode,288,TreeNode
289,TreeNode,176,TreeNode
290,TreeNode,176,TreeNode
291,TreeNode,176,TreeNode
177,TreeNode,84,TreeNode
85,TreeNode,51,TreeNode
100,TreeNode,85,TreeNode
268,TreeNode,100,TreeNode
269,TreeNode,100,TreeNode
737,TreeNode,269,TreeNode
738,TreeNode,269,TreeNode
739,TreeNode,269,TreeNode
740,TreeNode,269,TreeNode
741,TreeNode,269,TreeNode
270,TreeNode,100,TreeNode
271,TreeNode,100,TreeNode
272,TreeNode,100,TreeNode
101,TreeNode,85,TreeNode
249,TreeNode,101,TreeNode
250,TreeNode,101,TreeNode
367,TreeNode,250,TreeNode
649,TreeNode,367,TreeNode
813,TreeNode,649,TreeNode
814,TreeNode,649,TreeNode
650,TreeNode,367,TreeNode
368,TreeNode,250,TreeNode
369,TreeNode,250,TreeNode
992,TreeNode,369,TreeNode
993,TreeNode,369,TreeNode
994,TreeNode,369,TreeNode
995,TreeNode,369,TreeNode
370,TreeNode,250,TreeNode
371,TreeNode,250,TreeNode
251,TreeNode,101,TreeNode
252,TreeNode,101,TreeNode
346,TreeNode,252,TreeNode
347,TreeNode,252,TreeNode
86,TreeNode,51,TreeNode
52,TreeNode,35,TreeNode
329,TreeNode,52,TreeNode
330,TreeNode,52,TreeNode
36,TreeNode,9,TreeNode
227,TreeNode,36,TreeNode
228,TreeNode,36,TreeNode
655,TreeNode,228,TreeNode
656,TreeNode,228,TreeNode
708,TreeNode,656,TreeNode
709,TreeNode,656,TreeNode
883,TreeNode,709,TreeNode
884,TreeNode,709,TreeNode
885,TreeNode,709,TreeNode
931,TreeNode,885,TreeNode
932,TreeNode,885,TreeNode
886,TreeNode,709,TreeNode
954,TreeNode,886,TreeNode
955,TreeNode,886,TreeNode
710,TreeNode,656,TreeNode
657,TreeNode,228,TreeNode
658,TreeNode,228,TreeNode
944,TreeNode,658,TreeNode
945,TreeNode,658,TreeNode
946,TreeNode,658,TreeNode
659,TreeNode,228,TreeNode
37,TreeNode,9,TreeNode
110,TreeNode,37,TreeNode
132,TreeNode,110,TreeNode
133,TreeNode,110,TreeNode
111,TreeNode,37,TreeNode
112,TreeNode,37,TreeNode
147,TreeNode,112,TreeNode
148,TreeNode,112,TreeNode
149,TreeNode,112,TreeNode
234,TreeNode,149,TreeNode
494,TreeNode,234,TreeNode
495,TreeNode,234,TreeNode
496,TreeNode,234,TreeNode
235,TreeNode,149,TreeNode
113,TreeNode,37,TreeNode
10,TreeNode,3,TreeNode
13,TreeNode,10,TreeNode
14,TreeNode,10,TreeNode
58,TreeNode,14,TreeNode
78,TreeNode,58,TreeNode
79,TreeNode,58,TreeNode
566,TreeNode,79,TreeNode
567,TreeNode,79,TreeNode
80,TreeNode,58,TreeNode
81,TreeNode,58,TreeNode
97,TreeNode,81,TreeNode
210,TreeNode,97,TreeNode
211,TreeNode,97,TreeNode
98,TreeNode,81,TreeNode
99,TreeNode,81,TreeNode
166,TreeNode,99,TreeNode
167,TreeNode,99,TreeNode
222,TreeNode,167,TreeNode
223,TreeNode,167,TreeNode
224,TreeNode,167,TreeNode
225,TreeNode,167,TreeNode
226,TreeNode,167,TreeNode
168,TreeNode,99,TreeNode
396,TreeNode,168,TreeNode
397,TreeNode,168,TreeNode
398,TreeNode,168,TreeNode
399,TreeNode,168,TreeNode
400,TreeNode,168,TreeNode
407,TreeNode,400,TreeNode
664,TreeNode,407,TreeNode
665,TreeNode,407,TreeNode
666,TreeNode,407,TreeNode
667,TreeNode,407,TreeNode
777,TreeNode,667,TreeNode
778,TreeNode,667,TreeNode
668,TreeNode,407,TreeNode
408,TreeNode,400,TreeNode
409,TreeNode,400,TreeNode
703,TreeNode,409,TreeNode
704,TreeNode,409,TreeNode
705,TreeNode,409,TreeNode
978,TreeNode,705,TreeNode
979,TreeNode,705,TreeNode
980,TreeNode,705,TreeNode
981,TreeNode,705,TreeNode
706,TreeNode,409,TreeNode
707,TreeNode,409,TreeNode
410,TreeNode,400,TreeNode
169,TreeNode,99,TreeNode
170,TreeNode,99,TreeNode
82,TreeNode,58,TreeNode
244,TreeNode,82,TreeNode
950,TreeNode,244,TreeNode
951,TreeNode,244,TreeNode
952,TreeNode,244,TreeNode
953,TreeNode,244,TreeNode
963,TreeNode,953,TreeNode
964,TreeNode,953,TreeNode
965,TreeNode,953,TreeNode
966,TreeNode,953,TreeNode
245,TreeNode,82,TreeNode
419,TreeNode,245,TreeNode
463,TreeNode,419,TreeNode
464,TreeNode,419,TreeNode
420,TreeNode,245,TreeNode
421,TreeNode,245,TreeNode
701,TreeNode,421,TreeNode
760,TreeNode,701,TreeNode
761,TreeNode,701,TreeNode
762,TreeNode,701,TreeNode
763,TreeNode,701,TreeNode
764,TreeNode,701,TreeNode
702,TreeNode,421,TreeNode
422,TreeNode,245,TreeNode
791,TreeNode,422,TreeNode
792,TreeNode,422,TreeNode
793,TreeNode,422,TreeNode
794,TreeNode,422,TreeNode
795,TreeNode,422,TreeNode
246,TreeNode,82,TreeNode
693,TreeNode,246,TreeNode
694,TreeNode,246,TreeNode
695,TreeNode,246,TreeNode
247,TreeNode,82,TreeNode
248,TreeNode,82,TreeNode
59,TreeNode,14,TreeNode
502,TreeNode,59,TreeNode
503,TreeNode,59,TreeNode
504,TreeNode,59,TreeNode
15,TreeNode,10,TreeNode
20,TreeNode,15,TreeNode
29,TreeNode,20,TreeNode
93,TreeNode,29,TreeNode
105,TreeNode,93,TreeNode
199,TreeNode,105,TreeNode
200,TreeNode,105,TreeNode
201,TreeNode,105,TreeNode
273,TreeNode,201,TreeNode
542,TreeNode,273,TreeNode
