id,type,string_id,height,depth
1,TreeNode,1,13,0
2,TreeNode,1.1,3,1
6,TreeNode,1.1.1,1,2
87,TreeNode,1.1.1.1,0,3
88,TreeNode,1.1.1.2,0,3
7,TreeNode,1.1.2,2,2
445,TreeNode,1.1.2.1,0,3
446,TreeNode,1.1.2.2,1,3
916,TreeNode,1.1.2.2.1,0,4
917,TreeNode,1.1.2.2.2,0,4
918,TreeNode,1.1.2.2.3,0,4
447,TreeNode,1.1.2.3,0,3
448,TreeNode,1.1.2.4,0,3
8,TreeNode,1.1.3,0,2
3,TreeNode,1.2,12,1
9,TreeNode,1.2.1,9,2
34,TreeNode,1.2.1.1,8,3
41,TreeNode,1.2.1.1.1,4,4
73,TreeNode,1.2.1.1.1.1,0,5
74,TreeNode,1.2.1.1.1.2,1,5
971,TreeNode,1.2.1.1.1.2.1,0,6
972,TreeNode,1.2.1.1.1.2.2,0,6
973,TreeNode,1.2.1.1.1.2.3,0,6
974,TreeNode,1.2.1.1.1.2.4,0,6
975,TreeNode,1.2.1.1.1.2.5,0,6
75,TreeNode,1.2.1.1.1.3,0,5
76,TreeNode,1.2.1.1.1.4,0,5
77,TreeNode,1.2.1.1.1.5,3,5
475,TreeNode,1.2.1.1.1.5.1,0,6
476,TreeNode,1.2.1.1.1.5.2,0,6
477,TreeNode,1.2.1.1.1.5.3,2,6
768,TreeNode,1.2.1.1.1.5.3.1,0,7
769,TreeNode,1.2.1.1.1.5.3.2,0,7
770,TreeNode,1.2.1.1.1.5.3.3,0,7
771,TreeNode,1.2.1.1.1.5.3.4,1,7
976,TreeNode,1.2.1.1.1.5.3.4.1,0,8
977,TreeNode,1.2.1.1.1.5.3.4.2,0,8
772,TreeNode,1.2.1.1.1.5.3.5,0,7
478,TreeNode,1.2.1.1.1.5.4,0,6
42,TreeNode,1.2.1.1.2,7,4
142,TreeNode,1.2.1.1.2.1,0,5
143,TreeNode,1.2.1.1.2.2,3,5
465,TreeNode,1.2.1.1.2.2.1,0,6
466,TreeNode,1.2.1.1.2.2.2,2,6
568,TreeNode,1.2.1.1.2.2.2.1,1,7
711,TreeNode,1.2.1.1.2.2.2.1.1,0,8
712,TreeNode,1.2.1.1.2.2.2.1.2,0,8
713,TreeNode,1.2.1.1.2.2.2.1.3,0,8
714,TreeNode,1.2.1.1.2.2.2.1.4,0,8
715,TreeNode,1.2.1.1.2.2.2.1.5,0,8
569,TreeNode,1.2.1.1.2.2.2.2,0,7
570,TreeNode,1.2.1.1.2.2.2.3,0,7
571,TreeNode,1.2.1.1.2.2.2.4,0,7
572,TreeNode,1.2.1.1.2.2.2.5,0,7
144,TreeNode,1.2.1.1.2.3,0,5
145,TreeNode,1.2.1.1.2.4,0,5
146,TreeNode,1.2.1.1.2.5,6,5
297,TreeNode,1.2.1.1.2.5.1,1,6
651,TreeNode,1.2.1.1.2.5.1.1,0,7
652,TreeNode,1.2.1.1.2.5.1.2,0,7
653,TreeNode,1.2.1.1.2.5.1.3,0,7
654,TreeNode,1.2.1.1.2.5.1.4,0,7
298,TreeNode,1.2.1.1.2.5.2,3,6
392,TreeNode,1.2.1.1.2.5.2.1,0,7
393,TreeNode,1.2.1.1.2.5.2.2,1,7
401,TreeNode,1.2.1.1.2.5.2.2.1,0,8
402,TreeNode,1.2.1.1.2.5.2.2.2,0,8
403,TreeNode,1.2.1.1.2.5.2.2.3,0,8
404,TreeNode,1.2.1.1.2.5.2.2.4,0,8
394,TreeNode,1.2.1.1.2.5.2.3,2,7
669,TreeNode,1.2.1.1.2.5.2.3.1,0,8
670,TreeNode,1.2.1.1.2.5.2.3.2,1,8
757,TreeNode,1.2.1.1.2.5.2.3.2.1,0,9
758,TreeNode,1.2.1.1.2.5.2.3.2.2,0,9
759,TreeNode,1.2.1.1.2.5.2.3.2.3,0,9
671,TreeNode,1.2.1.1.2.5.2.3.3,0,8
395,TreeNode,1.2.1.1.2.5.2.4,0,7
299,TreeNode,1.2.1.1.2.5.3,0,6
300,TreeNode,1.2.1.1.2.5.4,5,6
505,TreeNode,1.2.1.1.2.5.4.1,0,7
506,TreeNode,1.2.1.1.2.5.4.2,2,7
553,TreeNode,1.2.1.1.2.5.4.2.1,0,8
554,TreeNode,1.2.1.1.2.5.4.2.2,1,8
939,TreeNode,1.2.1.1.2.5.4.2.2.1,0,9
940,TreeNode,1.2.1.1.2.5.4.2.2.2,0,9
941,TreeNode,1.2.1.1.2.5.4.2.2.3,0,9
942,TreeNode,1.2.1.1.2.5.4.2.2.4,0,9
943,TreeNode,1.2.1.1.2.5.4.2.2.5,0,9
555,TreeNode,1.2.1.1.2.5.4.2.3,0,8
556,TreeNode,1.2.1.1.2.5.4.2.4,0,8
507,TreeNode,1.2.1.1.2.5.4.3,0,7
508,TreeNode,1.2.1.1.2.5.4.4,4,7
516,TreeNode,1.2.1.1.2.5.4.4.1,1,8
831,TreeNode,1.2.1.1.2.5.4.4.1.1,0,9
832,TreeNode,1.2.1.1.2.5.4.4.1.2,0,9
833,TreeNode,1.2.1.1.2.5.4.4.1.3,0,9
834,TreeNode,1.2.1.1.2.5.4.4.1.4,0,9
835,TreeNode,1.2.1.1.2.5.4.4.1.5,0,9
517,TreeNode,1.2.1.1.2.5.4.4.2,3,8
615,TreeNode,1.2.1.1.2.5.4.4.2.1,0,9
616,TreeNode,1.2.1.1.2.5.4.4.2.2,0,9
617,TreeNode,1.2.1.1.2.5.4.4.2.3,2,9
928,TreeNode,1.2.1.1.2.5.4.4.2.3.1,0,10
929,TreeNode,1.2.1.1.2.5.4.4.2.3.2,0,10
930,TreeNode,1.2.1.1.2.5.4.4.2.3.3,1,10
982,TreeNode,1.2.1.1.2.5.4.4.2.3.3.1,0,11
983,TreeNode,1.2.1.1.2.5.4.4.2.3.3.2,0,11
984,TreeNode,1.2.1.1.2.5.4.4.2.3.3.3,0,11
985,TreeNode,1.2.1.1.2.5.4.4.2.3.3.4,0,11
986,TreeNode,1.2.1.1.2.5.4.4.2.3.3.5,0,11
618,TreeNode,1.2.1.1.2.5.4.4.2.4,0,9
619,TreeNode,1.2.1.1.2.5.4.4.2.5,0,9
509,TreeNode,1.2.1.1.2.5.4.5,0,7
301,TreeNode,1.2.1.1.2.5.5,0,6
43,TreeNode,1.2.1.1.3,0,4
44,TreeNode,1.2.1.1.4,0,4
35,TreeNode,1.2.1.2,7,3
50,TreeNode,1.2.1.2.1,2,4
319,TreeNode,1.2.1.2.1.1,0,5
320,TreeNode,1.2.1.2.1.2,1,5
796,TreeNode,1.2.1.2.1.2.1,0,6
797,TreeNode,1.2.1.2.1.2.2,0,6
798,TreeNode,1.2.1.2.1.2.3,0,6
51,TreeNode,1.2.1.2.2,6,4
83,TreeNode,1.2.1.2.2.1,0,5
84,TreeNode,1.2.1.2.2.2,3,5
176,TreeNode,1.2.1.2.2.2.1,2,6
288,TreeNode,1.2.1.2.2.2.1.1,1,7
682,TreeNode,1.2.1.2.2.2.1.1.1,0,8
683,TreeNode,1.2.1.2.2.2.1.1.2,0,8
684,TreeNode,1.2.1.2.2.2.1.1.3,0,8
685,TreeNode,1.2.1.2.2.2.1.1.4,0,8
289,TreeNode,1.2.1.2.2.2.1.2,0,7
290,TreeNode,1.2.1.2.2.2.1.3,0,7
291,TreeNode,1.2.1.2.2.2.1.4,0,7
177,TreeNode,1.2.1.2.2.2.2,0,6
85,TreeNode,1.2.1.2.2.3,5,5
100,TreeNode,1.2.1.2.2.3.1,2,6
268,TreeNode,1.2.1.2.2.3.1.1,0,7
269,TreeNode,1.2.1.2.2.3.1.2,1,7
737,TreeNode,1.2.1.2.2.3.1.2.1,0,8
738,TreeNode,1.2.1.2.2.3.1.2.2,0,8
739,TreeNode,1.2.1.2.2.3.1.2.3,0,8
740,TreeNode,1.2.1.2.2.3.1.2.4,0,8
741,TreeNode,1.2.1.2.2.3.1.2.5,0,8
270,TreeNode,1.2.1.2.2.3.1.3,0,7
271,TreeNode,1.2.1.2.2.3.1.4,0,7
272,TreeNode,1.2.1.2.2.3.1.5,0,7
101,TreeNode,1.2.1.2.2.3.2,4,6
249,TreeNode,1.2.1.2.2.3.2.1,0,7
250,TreeNode,1.2.1.2.2.3.2.2,3,7
367,TreeNode,1.2.1.2.2.3.2.2.1,2,8
649,TreeNode,1.2.1.2.2.3.2.2.1.1,1,9
813,TreeNode,1.2.1.2.2.3.2.2.1.1.1,0,10
814,TreeNode,1.2.1.2.2.3.2.2.1.1.2,0,10
650,TreeNode,1.2.1.2.2.3.2.2.1.2,0,9
368,TreeNode,1.2.1.2.2.3.2.2.2,0,8
369,TreeNode,1.2.1.2.2.3.2.2.3,1,8
