id,type,dewey,height,depth
1,TreeNode,1,23,0
2,TreeNode,1.1,10,1
2649,TreeNode,1.1.1,0,2
2650,TreeNode,1.1.2,0,2
2651,TreeNode,1.1.3,0,2
2652,TreeNode,1.1.4,2,2
67033,TreeNode,1.1.4.1,0,3
67034,TreeNode,1.1.4.2,0,3
67035,TreeNode,1.1.4.3,0,3
67036,TreeNode,1.1.4.4,0,3
67037,TreeNode,1.1.4.5,0,3
67038,TreeNode,1.1.4.6,0,3
67039,TreeNode,1.1.4.7,0,3
67040,TreeNode,1.1.4.8,0,3
67041,TreeNode,1.1.4.9,0,3
67042,TreeNode,1.1.4.10,0,3
67043,TreeNode,1.1.4.11,0,3
67044,TreeNode,1.1.4.12,0,3
67045,TreeNode,1.1.4.13,1,3
96955,TreeNode,1.1.4.13.1,0,4
96956,TreeNode,1.1.4.13.2,0,4
96957,TreeNode,1.1.4.13.3,0,4
96958,TreeNode,1.1.4.13.4,0,4
96959,TreeNode,1.1.4.13.5,0,4
96960,TreeNode,1.1.4.13.6,0,4
96961,TreeNode,1.1.4.13.7,0,4
96962,TreeNode,1.1.4.13.8,0,4
96963,TreeNode,1.1.4.13.9,0,4
96964,TreeNode,1.1.4.13.10,0,4
96965,TreeNode,1.1.4.13.11,0,4
96966,TreeNode,1.1.4.13.12,0,4
96967,TreeNode,1.1.4.13.13,0,4
96968,TreeNode,1.1.4.13.14,0,4
96969,TreeNode,1.1.4.13.15,0,4
96970,TreeNode,1.1.4.13.16,0,4
96971,TreeNode,1.1.4.13.17,0,4
96972,TreeNode,1.1.4.13.18,0,4
96973,TreeNode,1.1.4.13.19,0,4
96974,TreeNode,1.1.4.13.20,0,4
67046,TreeNode,1.1.4.14,0,3
67047,TreeNode,1.1.4.15,0,3
2653,TreeNode,1.1.5,0,2
2654,TreeNode,1.1.6,6,2
5678,TreeNode,1.1.6.1,0,3
5679,TreeNode,1.1.6.2,5,3
12897,TreeNode,1.1.6.2.1,0,4
12898,TreeNode,1.1.6.2.2,0,4
12899,TreeNode,1.1.6.2.3,0,4
12900,TreeNode,1.1.6.2.4,4,4
15226,TreeNode,1.1.6.2.4.1,0,5
15227,TreeNode,1.1.6.2.4.2,3,5
82833,TreeNode,1.1.6.2.4.2.1,0,6
82834,TreeNode,1.1.6.2.4.2.2,0,6
82835,TreeNode,1.1.6.2.4.2.3,0,6
82836,TreeNode,1.1.6.2.4.2.4,0,6
82837,TreeNode,1.1.6.2.4.2.5,0,6
82838,TreeNode,1.1.6.2.4.2.6,2,6
83765,TreeNode,1.1.6.2.4.2.6.1,0,7
83766,TreeNode,1.1.6.2.4.2.6.2,0,7
83767,TreeNode,1.1.6.2.4.2.6.3,0,7
83768,TreeNode,1.1.6.2.4.2.6.4,0,7
83769,TreeNode,1.1.6.2.4.2.6.5,0,7
83770,TreeNode,1.1.6.2.4.2.6.6,0,7
83771,TreeNode,1.1.6.2.4.2.6.7,0,7
83772,TreeNode,1.1.6.2.4.2.6.8,0,7
83773,TreeNode,1.1.6.2.4.2.6.9,0,7
83774,TreeNode,1.1.6.2.4.2.6.10,0,7
83775,TreeNode,1.1.6.2.4.2.6.11,0,7
83776,TreeNode,1.1.6.2.4.2.6.12,0,7
83777,TreeNode,1.1.6.2.4.2.6.13,0,7
83778,TreeNode,1.1.6.2.4.2.6.14,0,7
83779,TreeNode,1.1.6.2.4.2.6.15,0,7
83780,TreeNode,1.1.6.2.4.2.6.16,1,7
98127,TreeNode,1.1.6.2.4.2.6.16.1,0,8
98128,TreeNode,1.1.6.2.4.2.6.16.2,0,8
98129,TreeNode,1.1.6.2.4.2.6.16.3,0,8
98130,TreeNode,1.1.6.2.4.2.6.16.4,0,8
98131,TreeNode,1.1.6.2.4.2.6.16.5,0,8
98132,TreeNode,1.1.6.2.4.2.6.16.6,0,8
98133,TreeNode,1.1.6.2.4.2.6.16.7,0,8
98134,TreeNode,1.1.6.2.4.2.6.16.8,0,8
98135,TreeNode,1.1.6.2.4.2.6.16.9,0,8
98136,TreeNode,1.1.6.2.4.2.6.16.10,0,8
98137,TreeNode,1.1.6.2.4.2.6.16.11,0,8
82839,TreeNode,1.1.6.2.4.2.7,0,6
82840,TreeNode,1.1.6.2.4.2.8,0,6
82841,TreeNode,1.1.6.2.4.2.9,0,6
82842,TreeNode,1.1.6.2.4.2.10,0,6
82843,TreeNode,1.1.6.2.4.2.11,0,6
82844,TreeNode,1.1.6.2.4.2.12,0,6
82845,TreeNode,1.1.6.2.4.2.13,0,6
82846,TreeNode,1.1.6.2.4.2.14,0,6
82847,TreeNode,1.1.6.2.4.2.15,0,6
82848,TreeNode,1.1.6.2.4.2.16,0,6
82849,TreeNode,1.1.6.2.4.2.17,0,6
