id,type,integer_id,upper_bound,height,depth
1,TreeNode,1,200,11,0
2,TreeNode,2,199,10,1
3,TreeNode,3,176,9,2
6,TreeNode,4,175,8,3
7,TreeNode,5,174,7,4
8,TreeNode,6,33,5,5
39,TreeNode,7,32,4,6
58,TreeNode,8,29,3,7
65,TreeNode,9,10,0,8
66,TreeNode,11,20,2,8
93,TreeNode,12,15,1,9
96,TreeNode,13,14,0,10
94,TreeNode,16,17,0,9
95,TreeNode,18,19,0,9
67,TreeNode,21,28,2,8
75,TreeNode,22,25,1,9
80,TreeNode,23,24,0,10
76,TreeNode,26,27,0,9
59,TreeNode,30,31,0,7
9,TreeNode,34,123,6,5
11,TreeNode,35,52,3,6
40,TreeNode,36,37,0,7
41,TreeNode,38,51,2,7
42,TreeNode,39,42,1,8
68,TreeNode,40,41,0,9
43,TreeNode,43,44,0,8
44,TreeNode,45,50,1,8
71,TreeNode,46,47,0,9
72,TreeNode,48,49,0,9
12,TreeNode,53,120,5,6
18,TreeNode,54,99,4,7
30,TreeNode,55,58,1,8
88,TreeNode,56,57,0,9
31,TreeNode,59,74,2,8
60,TreeNode,60,61,0,9
61,TreeNode,62,65,1,9
100,TreeNode,63,64,0,10
62,TreeNode,66,73,1,9
85,TreeNode,67,68,0,10
86,TreeNode,69,70,0,10
87,TreeNode,71,72,0,10
32,TreeNode,75,98,3,8
33,TreeNode,76,77,0,9
34,TreeNode,78,95,2,9
45,TreeNode,79,84,1,10
48,TreeNode,80,81,0,11
49,TreeNode,82,83,0,11
46,TreeNode,85,86,0,10
47,TreeNode,87,94,1,10
97,TreeNode,88,89,0,11
98,TreeNode,90,91,0,11
99,TreeNode,92,93,0,11
35,TreeNode,96,97,0,9
19,TreeNode,100,115,2,7
50,TreeNode,101,106,1,8
53,TreeNode,102,103,0,9
54,TreeNode,104,105,0,9
51,TreeNode,107,108,0,8
52,TreeNode,109,114,1,8
69,TreeNode,110,111,0,9
70,TreeNode,112,113,0,9
20,TreeNode,116,119,1,7
24,TreeNode,117,118,0,8
13,TreeNode,121,122,0,6
10,TreeNode,124,173,5,5
14,TreeNode,125,142,3,6
25,TreeNode,126,139,2,7
37,TreeNode,127,132,1,8
63,TreeNode,128,129,0,9
64,TreeNode,130,131,0,9
38,TreeNode,133,138,1,8
73,TreeNode,134,135,0,9
74,TreeNode,136,137,0,9
26,TreeNode,140,141,0,7
15,TreeNode,143,164,4,6
17,TreeNode,144,163,3,7
27,TreeNode,145,152,2,8
36,TreeNode,146,151,1,9
78,TreeNode,147,148,0,10
79,TreeNode,149,150,0,10
28,TreeNode,153,162,2,8
55,TreeNode,154,157,1,9
77,TreeNode,155,156,0,10
56,TreeNode,158,159,0,9
57,TreeNode,160,161,0,9
16,TreeNode,165,172,2,6
81,TreeNode,166,167,0,7
82,TreeNode,168,171,1,7
89,TreeNode,169,170,0,8
4,TreeNode,177,198,4,2
5,TreeNode,178,197,3,3
21,TreeNode,179,186,1,4
90,TreeNode,180,181,0,5
91,TreeNode,182,183,0,5
92,TreeNode,184,185,0,5
22,TreeNode,187,194,2,4
29,TreeNode,188,193,1,5
83,TreeNode,189,190,0,6
84,TreeNode,191,192,0,6
23,TreeNode,195,196,0,4
