start_id,start_vertex_type,end_id,end_vertex_type
2,TreeNode,1,TreeNode
5,TreeNode,2,TreeNode
6,TreeNode,5,TreeNode
13,TreeNode,6,TreeNode
191,TreeNode,13,TreeNode
695,TreeNode,191,TreeNode
696,TreeNode,191,TreeNode
14,TreeNode,6,TreeNode
24,TreeNode,14,TreeNode
34,TreeNode,24,TreeNode
37,TreeNode,34,TreeNode
64,TreeNode,37,TreeNode
383,TreeNode,64,TreeNode
384,TreeNode,64,TreeNode
65,TreeNode,37,TreeNode
89,TreeNode,65,TreeNode
90,TreeNode,65,TreeNode
197,TreeNode,90,TreeNode
198,TreeNode,90,TreeNode
366,TreeNode,198,TreeNode
579,TreeNode,366,TreeNode
629,TreeNode,579,TreeNode
580,TreeNode,366,TreeNode
367,TreeNode,198,TreeNode
488,TreeNode,367,TreeNode
866,TreeNode,488,TreeNode
953,TreeNode,866,TreeNode
867,TreeNode,488,TreeNode
868,TreeNode,488,TreeNode
489,TreeNode,367,TreeNode
513,TreeNode,489,TreeNode
556,TreeNode,513,TreeNode
631,TreeNode,556,TreeNode
557,TreeNode,513,TreeNode
652,TreeNode,557,TreeNode
558,TreeNode,513,TreeNode
897,TreeNode,558,TreeNode
898,TreeNode,558,TreeNode
899,TreeNode,558,TreeNode
514,TreeNode,489,TreeNode
490,TreeNode,367,TreeNode
686,TreeNode,490,TreeNode
368,TreeNode,198,TreeNode
886,TreeNode,368,TreeNode
887,TreeNode,368,TreeNode
923,TreeNode,887,TreeNode
924,TreeNode,887,TreeNode
925,TreeNode,887,TreeNode
935,TreeNode,925,TreeNode
936,TreeNode,925,TreeNode
888,TreeNode,368,TreeNode
199,TreeNode,90,TreeNode
66,TreeNode,37,TreeNode
135,TreeNode,66,TreeNode
162,TreeNode,135,TreeNode
169,TreeNode,162,TreeNode
280,TreeNode,169,TreeNode
401,TreeNode,280,TreeNode
409,TreeNode,401,TreeNode
581,TreeNode,409,TreeNode
691,TreeNode,581,TreeNode
966,TreeNode,691,TreeNode
967,TreeNode,691,TreeNode
692,TreeNode,581,TreeNode
582,TreeNode,409,TreeNode
410,TreeNode,401,TreeNode
411,TreeNode,401,TreeNode
402,TreeNode,280,TreeNode
170,TreeNode,162,TreeNode
175,TreeNode,170,TreeNode
136,TreeNode,66,TreeNode
323,TreeNode,136,TreeNode
324,TreeNode,136,TreeNode
363,TreeNode,324,TreeNode
137,TreeNode,66,TreeNode
182,TreeNode,137,TreeNode
185,TreeNode,182,TreeNode
186,TreeNode,182,TreeNode
187,TreeNode,182,TreeNode
697,TreeNode,187,TreeNode
698,TreeNode,187,TreeNode
699,TreeNode,187,TreeNode
957,TreeNode,699,TreeNode
958,TreeNode,699,TreeNode
183,TreeNode,137,TreeNode
285,TreeNode,183,TreeNode
356,TreeNode,285,TreeNode
497,TreeNode,356,TreeNode
776,TreeNode,497,TreeNode
498,TreeNode,356,TreeNode
735,TreeNode,498,TreeNode
286,TreeNode,183,TreeNode
835,TreeNode,286,TreeNode
35,TreeNode,24,TreeNode
277,TreeNode,35,TreeNode
320,TreeNode,277,TreeNode
543,TreeNode,320,TreeNode
614,TreeNode,543,TreeNode
615,TreeNode,543,TreeNode
544,TreeNode,320,TreeNode
321,TreeNode,277,TreeNode
417,TreeNode,321,TreeNode
418,TreeNode,321,TreeNode
608,TreeNode,418,TreeNode
609,TreeNode,418,TreeNode
765,TreeNode,609,TreeNode
856,TreeNode,765,TreeNode
857,TreeNode,765,TreeNode
858,TreeNode,765,TreeNode
766,TreeNode,609,TreeNode
767,TreeNode,609,TreeNode
322,TreeNode,277,TreeNode
353,TreeNode,322,TreeNode
36,TreeNode,24,TreeNode
38,TreeNode,36,TreeNode
406,TreeNode,38,TreeNode
787,TreeNode,406,TreeNode
788,TreeNode,406,TreeNode
407,TreeNode,38,TreeNode
408,TreeNode,38,TreeNode
748,TreeNode,408,TreeNode
992,TreeNode,748,TreeNode
993,TreeNode,748,TreeNode
994,TreeNode,748,TreeNode
749,TreeNode,408,TreeNode
796,TreeNode,749,TreeNode
797,TreeNode,749,TreeNode
750,TreeNode,408,TreeNode
974,TreeNode,750,TreeNode
39,TreeNode,36,TreeNode
61,TreeNode,39,TreeNode
130,TreeNode,61,TreeNode
163,TreeNode,130,TreeNode
278,TreeNode,163,TreeNode
521,TreeNode,278,TreeNode
764,TreeNode,521,TreeNode
522,TreeNode,278,TreeNode
928,TreeNode,522,TreeNode
929,TreeNode,522,TreeNode
930,TreeNode,522,TreeNode
164,TreeNode,130,TreeNode
233,TreeNode,164,TreeNode
379,TreeNode,233,TreeNode
421,TreeNode,379,TreeNode
963,TreeNode,421,TreeNode
964,TreeNode,421,TreeNode
965,TreeNode,421,TreeNode
422,TreeNode,379,TreeNode
423,TreeNode,379,TreeNode
526,TreeNode,423,TreeNode
688,TreeNode,526,TreeNode
527,TreeNode,423,TreeNode
657,TreeNode,527,TreeNode
658,TreeNode,527,TreeNode
528,TreeNode,423,TreeNode
234,TreeNode,164,TreeNode
269,TreeNode,234,TreeNode
595,TreeNode,269,TreeNode
659,TreeNode,595,TreeNode
660,TreeNode,595,TreeNode
763,TreeNode,660,TreeNode
661,TreeNode,595,TreeNode
165,TreeNode,130,TreeNode
287,TreeNode,165,TreeNode
372,TreeNode,287,TreeNode
734,TreeNode,372,TreeNode
373,TreeNode,287,TreeNode
798,TreeNode,373,TreeNode
799,TreeNode,373,TreeNode
374,TreeNode,287,TreeNode
540,TreeNode,374,TreeNode
891,TreeNode,540,TreeNode
892,TreeNode,540,TreeNode
893,TreeNode,540,TreeNode
541,TreeNode,374,TreeNode
542,TreeNode,374,TreeNode
545,TreeNode,542,TreeNode
546,TreeNode,542,TreeNode
547,TreeNode,542,TreeNode
288,TreeNode,165,TreeNode
426,TreeNode,288,TreeNode
427,TreeNode,288,TreeNode
466,TreeNode,427,TreeNode
674,TreeNode,466,TreeNode
869,TreeNode,674,TreeNode
870,TreeNode,674,TreeNode
871,TreeNode,674,TreeNode
675,TreeNode,466,TreeNode
836,TreeNode,675,TreeNode
837,TreeNode,675,TreeNode
838,TreeNode,675,TreeNode
676,TreeNode,466,TreeNode
467,TreeNode,427,TreeNode
592,TreeNode,467,TreeNode
468,TreeNode,427,TreeNode
491,TreeNode,468,TreeNode
62,TreeNode,39,TreeNode
158,TreeNode,62,TreeNode
584,TreeNode,158,TreeNode
585,TreeNode,158,TreeNode
63,TreeNode,39,TreeNode
79,TreeNode,63,TreeNode
82,TreeNode,79,TreeNode
98,TreeNode,82,TreeNode
99,TreeNode,82,TreeNode
145,TreeNode,99,TreeNode
281,TreeNode,145,TreeNode
146,TreeNode,99,TreeNode
147,TreeNode,99,TreeNode
176,TreeNode,147,TreeNode
210,TreeNode,176,TreeNode
211,TreeNode,176,TreeNode
229,TreeNode,211,TreeNode
230,TreeNode,211,TreeNode
357,TreeNode,230,TreeNode
358,TreeNode,230,TreeNode
359,TreeNode,230,TreeNode
754,TreeNode,359,TreeNode
755,TreeNode,359,TreeNode
917,TreeNode,755,TreeNode
918,TreeNode,755,TreeNode
919,TreeNode,755,TreeNode
