id,type,integer_id,upper_bound,height,depth
1,TreeNode,1,2000,22,0
2,TreeNode,2,1873,21,1
5,TreeNode,3,1872,20,2
6,TreeNode,4,767,15,3
13,TreeNode,5,12,2,4
191,TreeNode,6,11,1,5
695,TreeNode,7,8,0,6
696,TreeNode,9,10,0,6
14,TreeNode,13,766,14,4
24,TreeNode,14,515,13,5
34,TreeNode,15,182,11,6
37,TreeNode,16,181,10,7
64,TreeNode,17,22,1,8
383,TreeNode,18,19,0,9
384,TreeNode,20,21,0,9
65,TreeNode,23,98,7,8
89,TreeNode,24,25,0,9
90,TreeNode,26,97,6,9
197,TreeNode,27,28,0,10
198,TreeNode,29,94,5,10
366,TreeNode,30,37,2,11
579,TreeNode,31,34,1,12
629,TreeNode,32,33,0,13
580,TreeNode,35,36,0,12
367,TreeNode,38,75,4,11
488,TreeNode,39,48,2,12
866,TreeNode,40,43,1,13
953,TreeNode,41,42,0,14
867,TreeNode,44,45,0,13
868,TreeNode,46,47,0,13
489,TreeNode,49,70,3,12
513,TreeNode,50,67,2,13
556,TreeNode,51,54,1,14
631,TreeNode,52,53,0,15
557,TreeNode,55,58,1,14
652,TreeNode,56,57,0,15
558,TreeNode,59,66,1,14
897,TreeNode,60,61,0,15
898,TreeNode,62,63,0,15
899,TreeNode,64,65,0,15
514,TreeNode,68,69,0,13
490,TreeNode,71,74,1,12
686,TreeNode,72,73,0,13
368,TreeNode,76,93,3,11
886,TreeNode,77,78,0,12
887,TreeNode,79,90,2,12
923,TreeNode,80,81,0,13
924,TreeNode,82,83,0,13
925,TreeNode,84,89,1,13
935,TreeNode,85,86,0,14
936,TreeNode,87,88,0,14
888,TreeNode,91,92,0,12
199,TreeNode,95,96,0,10
66,TreeNode,99,180,9,8
135,TreeNode,100,133,8,9
162,TreeNode,101,132,7,10
169,TreeNode,102,127,6,11
280,TreeNode,103,126,5,12
401,TreeNode,104,123,4,13
409,TreeNode,105,118,3,14
581,TreeNode,106,115,2,15
691,TreeNode,107,112,1,16
966,TreeNode,108,109,0,17
967,TreeNode,110,111,0,17
692,TreeNode,113,114,0,16
582,TreeNode,116,117,0,15
410,TreeNode,119,120,0,14
411,TreeNode,121,122,0,14
402,TreeNode,124,125,0,13
170,TreeNode,128,131,1,11
175,TreeNode,129,130,0,12
136,TreeNode,134,141,2,9
323,TreeNode,135,136,0,10
324,TreeNode,137,140,1,10
363,TreeNode,138,139,0,11
137,TreeNode,142,179,5,9
182,TreeNode,143,160,3,10
185,TreeNode,144,145,0,11
186,TreeNode,146,147,0,11
187,TreeNode,148,159,2,11
697,TreeNode,149,150,0,12
698,TreeNode,151,152,0,12
699,TreeNode,153,158,1,12
957,TreeNode,154,155,0,13
958,TreeNode,156,157,0,13
183,TreeNode,161,178,4,10
285,TreeNode,162,173,3,11
356,TreeNode,163,172,2,12
497,TreeNode,164,167,1,13
776,TreeNode,165,166,0,14
498,TreeNode,168,171,1,13
735,TreeNode,169,170,0,14
286,TreeNode,174,177,1,11
835,TreeNode,175,176,0,12
35,TreeNode,183,222,6,6
277,TreeNode,184,221,5,7
320,TreeNode,185,194,2,8
543,TreeNode,186,191,1,9
614,TreeNode,187,188,0,10
615,TreeNode,189,190,0,10
544,TreeNode,192,193,0,9
321,TreeNode,195,216,4,8
417,TreeNode,196,197,0,9
418,TreeNode,198,215,3,9
608,TreeNode,199,200,0,10
609,TreeNode,201,214,2,10
765,TreeNode,202,209,1,11
856,TreeNode,203,204,0,12
857,TreeNode,205,206,0,12
858,TreeNode,207,208,0,12
766,TreeNode,210,211,0,11
767,TreeNode,212,213,0,11
322,TreeNode,217,220,1,8
353,TreeNode,218,219,0,9
36,TreeNode,223,514,12,6
38,TreeNode,224,253,3,7
406,TreeNode,225,230,1,8
787,TreeNode,226,227,0,9
788,TreeNode,228,229,0,9
407,TreeNode,231,232,0,8
408,TreeNode,233,252,2,8
748,TreeNode,234,241,1,9
992,TreeNode,235,236,0,10
993,TreeNode,237,238,0,10
994,TreeNode,239,240,0,10
749,TreeNode,242,247,1,9
796,TreeNode,243,244,0,10
797,TreeNode,245,246,0,10
750,TreeNode,248,251,1,9
974,TreeNode,249,250,0,10
39,TreeNode,254,513,11,7
61,TreeNode,255,386,7,8
130,TreeNode,256,385,6,9
163,TreeNode,257,272,3,10
278,TreeNode,258,271,2,11
521,TreeNode,259,262,1,12
764,TreeNode,260,261,0,13
522,TreeNode,263,270,1,12
928,TreeNode,264,265,0,13
929,TreeNode,266,267,0,13
930,TreeNode,268,269,0,13
164,TreeNode,273,316,5,10
233,TreeNode,274,301,4,11
379,TreeNode,275,300,3,12
421,TreeNode,276,283,1,13
963,TreeNode,277,278,0,14
964,TreeNode,279,280,0,14
965,TreeNode,281,282,0,14
422,TreeNode,284,285,0,13
423,TreeNode,286,299,2,13
526,TreeNode,287,290,1,14
688,TreeNode,288,289,0,15
527,TreeNode,291,296,1,14
657,TreeNode,292,293,0,15
658,TreeNode,294,295,0,15
528,TreeNode,297,298,0,14
234,TreeNode,302,315,4,11
269,TreeNode,303,314,3,12
595,TreeNode,304,313,2,13
659,TreeNode,305,306,0,14
660,TreeNode,307,310,1,14
763,TreeNode,308,309,0,15
661,TreeNode,311,312,0,14
165,TreeNode,317,384,5,10
287,TreeNode,318,349,3,11
372,TreeNode,319,322,1,12
734,TreeNode,320,321,0,13
373,TreeNode,323,328,1,12
798,TreeNode,324,325,0,13
799,TreeNode,326,327,0,13
374,TreeNode,329,348,2,12
540,TreeNode,330,337,1,13
891,TreeNode,331,332,0,14
892,TreeNode,333,334,0,14
893,TreeNode,335,336,0,14
541,TreeNode,338,339,0,13
542,TreeNode,340,347,1,13
545,TreeNode,341,342,0,14
546,TreeNode,343,344,0,14
547,TreeNode,345,346,0,14
288,TreeNode,350,383,4,11
426,TreeNode,351,352,0,12
427,TreeNode,353,382,3,12
466,TreeNode,354,373,2,13
674,TreeNode,355,362,1,14
869,TreeNode,356,357,0,15
870,TreeNode,358,359,0,15
871,TreeNode,360,361,0,15
675,TreeNode,363,370,1,14
836,TreeNode,364,365,0,15
837,TreeNode,366,367,0,15
838,TreeNode,368,369,0,15
676,TreeNode,371,372,0,14
467,TreeNode,374,377,1,13
592,TreeNode,375,376,0,14
468,TreeNode,378,381,1,13
491,TreeNode,379,380,0,14
62,TreeNode,387,394,2,8
158,TreeNode,388,393,1,9
584,TreeNode,389,390,0,10
585,TreeNode,391,392,0,10
63,TreeNode,395,512,10,8
79,TreeNode,396,493,9,9
82,TreeNode,397,492,8,10
98,TreeNode,398,399,0,11
99,TreeNode,400,491,7,11
145,TreeNode,401,404,1,12
281,TreeNode,402,403,0,13
146,TreeNode,405,406,0,12
147,TreeNode,407,490,6,12
176,TreeNode,408,463,5,13
210,TreeNode,409,410,0,14
211,TreeNode,411,438,4,14
229,TreeNode,412,413,0,15
230,TreeNode,414,431,3,15
357,TreeNode,415,416,0,16
358,TreeNode,417,418,0,16
359,TreeNode,419,430,2,16
754,TreeNode,420,421,0,17
755,TreeNode,422,429,1,17
917,TreeNode,423,424,0,18
918,TreeNode,425,426,0,18
919,TreeNode,427,428,0,18
231,TreeNode,432,437,2,15
244,TreeNode,433,436,1,16
298,TreeNode,434,435,0,17
212,TreeNode,439,462,4,14
226,TreeNode,440,443,1,15
746,TreeNode,441,442,0,16
227,TreeNode,444,459,3,15
515,TreeNode,445,454,2,16
872,TreeNode,446,449,1,17
927,TreeNode,447,448,0,18
873,TreeNode,450,451,0,17
874,TreeNode,452,453,0,17
516,TreeNode,455,456,0,16
517,TreeNode,457,458,0,16
228,TreeNode,460,461,0,15
177,TreeNode,464,465,0,13
178,TreeNode,466,489,5,13
215,TreeNode,467,484,4,14
241,TreeNode,468,481,3,15
243,TreeNode,469,480,2,16
851,TreeNode,470,471,0,17
852,TreeNode,472,473,0,17
853,TreeNode,474,479,1,17
968,TreeNode,475,476,0,18
969,TreeNode,477,478,0,18
242,TreeNode,482,483,0,15
216,TreeNode,485,486,0,14
217,TreeNode,487,488,0,14
80,TreeNode,494,511,4,9
139,TreeNode,495,510,3,10
152,TreeNode,496,497,0,11
153,TreeNode,498,505,2,11
354,TreeNode,499,502,1,12
520,TreeNode,500,501,0,13
355,TreeNode,503,504,0,12
154,TreeNode,506,509,1,11
524,TreeNode,507,508,0,12
25,TreeNode,516,753,11,5
27,TreeNode,517,752,10,6
59,TreeNode,518,751,9,7
70,TreeNode,519,630,8,8
112,TreeNode,520,529,2,9
396,TreeNode,521,522,0,10
397,TreeNode,523,528,1,10
