id,type,dewey,height,depth
1,TreeNode,1,36,0
2,TreeNode,1.1,35,1
4,TreeNode,1.1.1,34,2
5,TreeNode,1.1.1.1,33,3
14,TreeNode,1.1.1.1.1,30,4
28,TreeNode,1.1.1.1.1.1,19,5
57,TreeNode,1.1.1.1.1.1.1,18,6
127,TreeNode,1.1.1.1.1.1.1.1,8,7
1836,TreeNode,1.1.1.1.1.1.1.1.1,7,8
1950,TreeNode,1.1.1.1.1.1.1.1.1.1,6,9
3224,TreeNode,1.1.1.1.1.1.1.1.1.1.1,5,10
14202,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1,4,11
15281,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1,3,12
44378,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.1,2,13
92371,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,0,14
92372,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.1.2,1,14
94403,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.1,0,15
94404,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.2,0,15
94405,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.1.2.3,0,15
92373,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.1.3,0,14
44379,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.2,1,13
48609,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.2.1,0,14
44380,TreeNode,1.1.1.1.1.1.1.1.1.1.1.1.1.3,0,13
1951,TreeNode,1.1.1.1.1.1.1.1.1.2,5,9
3223,TreeNode,1.1.1.1.1.1.1.1.1.2.1,4,10
8771,TreeNode,1.1.1.1.1.1.1.1.1.2.1.1,3,11
46937,TreeNode,1.1.1.1.1.1.1.1.1.2.1.1.1,2,12
62210,TreeNode,1.1.1.1.1.1.1.1.1.2.1.1.1.1,1,13
77718,TreeNode,1.1.1.1.1.1.1.1.1.2.1.1.1.1.1,0,14
46938,TreeNode,1.1.1.1.1.1.1.1.1.2.1.1.2,0,12
46939,TreeNode,1.1.1.1.1.1.1.1.1.2.1.1.3,1,12
54227,TreeNode,1.1.1.1.1.1.1.1.1.2.1.1.3.1,0,13
54228,TreeNode,1.1.1.1.1.1.1.1.1.2.1.1.3.2,0,13
54229,TreeNode,1.1.1.1.1.1.1.1.1.2.1.1.3.3,0,13
1952,TreeNode,1.1.1.1.1.1.1.1.1.3,0,9
128,TreeNode,1.1.1.1.1.1.1.2,17,7
900,TreeNode,1.1.1.1.1.1.1.2.1,15,8
1469,TreeNode,1.1.1.1.1.1.1.2.1.1,14,9
1685,TreeNode,1.1.1.1.1.1.1.2.1.1.1,13,10
2003,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1,12,11
2393,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1,11,12
3013,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1,10,13
4364,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.1,2,14
16420,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1,1,15
58049,TreeNode,1.1.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1,0,16
