id,type,string_id,height,depth
1,TreeNode,1,6,0
2,TreeNode,1.1,4,1
7,TreeNode,1.1.1,2,2
87,TreeNode,1.1.1.1,0,3
88,TreeNode,1.1.1.2,0,3
89,TreeNode,1.1.1.3,0,3
90,TreeNode,1.1.1.4,0,3
91,TreeNode,1.1.1.5,1,3
93,TreeNode,1.1.1.5.1,0,4
94,TreeNode,1.1.1.5.2,0,4
95,TreeNode,1.1.1.5.3,0,4
96,TreeNode,1.1.1.5.4,0,4
97,TreeNode,1.1.1.5.5,0,4
92,TreeNode,1.1.1.6,0,3
8,TreeNode,1.1.2,0,2
9,TreeNode,1.1.3,3,2
21,TreeNode,1.1.3.1,0,3
22,TreeNode,1.1.3.2,1,3
38,TreeNode,1.1.3.2.1,0,4
39,TreeNode,1.1.3.2.2,0,4
40,TreeNode,1.1.3.2.3,0,4
41,TreeNode,1.1.3.2.4,0,4
23,TreeNode,1.1.3.3,0,3
24,TreeNode,1.1.3.4,0,3
25,TreeNode,1.1.3.5,2,3
50,TreeNode,1.1.3.5.1,0,4
51,TreeNode,1.1.3.5.2,0,4
52,TreeNode,1.1.3.5.3,0,4
53,TreeNode,1.1.3.5.4,0,4
54,TreeNode,1.1.3.5.5,1,4
68,TreeNode,1.1.3.5.5.1,0,5
69,TreeNode,1.1.3.5.5.2,0,5
70,TreeNode,1.1.3.5.5.3,0,5
71,TreeNode,1.1.3.5.5.4,0,5
10,TreeNode,1.1.4,2,2
11,TreeNode,1.1.4.1,0,3
12,TreeNode,1.1.4.2,0,3
13,TreeNode,1.1.4.3,0,3
14,TreeNode,1.1.4.4,0,3
15,TreeNode,1.1.4.5,0,3
16,TreeNode,1.1.4.6,1,3
98,TreeNode,1.1.4.6.1,0,4
99,TreeNode,1.1.4.6.2,0,4
100,TreeNode,1.1.4.6.3,0,4
3,TreeNode,1.2,1,1
17,TreeNode,1.2.1,0,2
18,TreeNode,1.2.2,0,2
19,TreeNode,1.2.3,0,2
20,TreeNode,1.2.4,0,2
4,TreeNode,1.3,5,1
26,TreeNode,1.3.1,0,2
27,TreeNode,1.3.2,2,2
72,TreeNode,1.3.2.1,0,3
73,TreeNode,1.3.2.2,1,3
77,TreeNode,1.3.2.2.1,0,4
78,TreeNode,1.3.2.2.2,0,4
79,TreeNode,1.3.2.2.3,0,4
80,TreeNode,1.3.2.2.4,0,4
81,TreeNode,1.3.2.2.5,0,4
74,TreeNode,1.3.2.3,0,3
75,TreeNode,1.3.2.4,0,3
76,TreeNode,1.3.2.5,0,3
28,TreeNode,1.3.3,0,2
29,TreeNode,1.3.4,0,2
30,TreeNode,1.3.5,1,2
55,TreeNode,1.3.5.1,0,3
56,TreeNode,1.3.5.2,0,3
57,TreeNode,1.3.5.3,0,3
58,TreeNode,1.3.5.4,0,3
59,TreeNode,1.3.5.5,0,3
31,TreeNode,1.3.6,4,2
32,TreeNode,1.3.6.1,0,3
33,TreeNode,1.3.6.2,0,3
34,TreeNode,1.3.6.3,1,3
82,TreeNode,1.3.6.3.1,0,4
83,TreeNode,1.3.6.3.2,0,4
84,TreeNode,1.3.6.3.3,0,4
85,TreeNode,1.3.6.3.4,0,4
86,TreeNode,1.3.6.3.5,0,4
35,TreeNode,1.3.6.4,3,3
42,TreeNode,1.3.6.4.1,0,4
43,TreeNode,1.3.6.4.2,2,4
46,TreeNode,1.3.6.4.2.1,0,5
47,TreeNode,1.3.6.4.2.2,1,5
60,TreeNode,1.3.6.4.2.2.1,0,6
61,TreeNode,1.3.6.4.2.2.2,0,6
62,TreeNode,1.3.6.4.2.2.3,0,6
63,TreeNode,1.3.6.4.2.2.4,0,6
48,TreeNode,1.3.6.4.2.3,0,5
49,TreeNode,1.3.6.4.2.4,0,5
44,TreeNode,1.3.6.4.3,0,4
45,TreeNode,1.3.6.4.4,0,4
36,TreeNode,1.3.6.5,0,3
37,TreeNode,1.3.6.6,0,3
5,TreeNode,1.4,1,1
64,TreeNode,1.4.1,0,2
65,TreeNode,1.4.2,0,2
66,TreeNode,1.4.3,0,2
67,TreeNode,1.4.4,0,2
6,TreeNode,1.5,0,1
