id,type,integer_id,upper_bound,height,depth
1,TreeNode,1,200,6,0
2,TreeNode,2,87,4,1
7,TreeNode,3,26,2,2
87,TreeNode,4,5,0,3
88,TreeNode,6,7,0,3
89,TreeNode,8,9,0,3
90,TreeNode,10,11,0,3
91,TreeNode,12,23,1,3
93,TreeNode,13,14,0,4
94,TreeNode,15,16,0,4
95,TreeNode,17,18,0,4
96,TreeNode,19,20,0,4
97,TreeNode,21,22,0,4
92,TreeNode,24,25,0,3
8,TreeNode,27,28,0,2
9,TreeNode,29,66,3,2
21,TreeNode,30,31,0,3
22,TreeNode,32,41,1,3
38,TreeNode,33,34,0,4
39,TreeNode,35,36,0,4
40,TreeNode,37,38,0,4
41,TreeNode,39,40,0,4
23,TreeNode,42,43,0,3
24,TreeNode,44,45,0,3
25,TreeNode,46,65,2,3
50,TreeNode,47,48,0,4
51,TreeNode,49,50,0,4
52,TreeNode,51,52,0,4
53,TreeNode,53,54,0,4
54,TreeNode,55,64,1,4
68,TreeNode,56,57,0,5
69,TreeNode,58,59,0,5
70,TreeNode,60,61,0,5
71,TreeNode,62,63,0,5
10,TreeNode,67,86,2,2
11,TreeNode,68,69,0,3
12,TreeNode,70,71,0,3
13,TreeNode,72,73,0,3
14,TreeNode,74,75,0,3
15,TreeNode,76,77,0,3
16,TreeNode,78,85,1,3
98,TreeNode,79,80,0,4
99,TreeNode,81,82,0,4
100,TreeNode,83,84,0,4
3,TreeNode,88,97,1,1
17,TreeNode,89,90,0,2
18,TreeNode,91,92,0,2
19,TreeNode,93,94,0,2
20,TreeNode,95,96,0,2
4,TreeNode,98,187,5,1
26,TreeNode,99,100,0,2
27,TreeNode,101,122,2,2
72,TreeNode,102,103,0,3
73,TreeNode,104,115,1,3
77,TreeNode,105,106,0,4
78,TreeNode,107,108,0,4
79,TreeNode,109,110,0,4
80,TreeNode,111,112,0,4
81,TreeNode,113,114,0,4
74,TreeNode,116,117,0,3
75,TreeNode,118,119,0,3
76,TreeNode,120,121,0,3
28,TreeNode,123,124,0,2
29,TreeNode,125,126,0,2
30,TreeNode,127,138,1,2
55,TreeNode,128,129,0,3
56,TreeNode,130,131,0,3
57,TreeNode,132,133,0,3
58,TreeNode,134,135,0,3
59,TreeNode,136,137,0,3
31,TreeNode,139,186,4,2
32,TreeNode,140,141,0,3
33,TreeNode,142,143,0,3
34,TreeNode,144,155,1,3
82,TreeNode,145,146,0,4
83,TreeNode,147,148,0,4
84,TreeNode,149,150,0,4
85,TreeNode,151,152,0,4
86,TreeNode,153,154,0,4
35,TreeNode,156,181,3,3
42,TreeNode,157,158,0,4
43,TreeNode,159,176,2,4
46,TreeNode,160,161,0,5
47,TreeNode,162,171,1,5
60,TreeNode,163,164,0,6
61,TreeNode,165,166,0,6
62,TreeNode,167,168,0,6
63,TreeNode,169,170,0,6
48,TreeNode,172,173,0,5
49,TreeNode,174,175,0,5
44,TreeNode,177,178,0,4
45,TreeNode,179,180,0,4
36,TreeNode,182,183,0,3
37,TreeNode,184,185,0,3
5,TreeNode,188,197,1,1
64,TreeNode,189,190,0,2
65,TreeNode,191,192,0,2
66,TreeNode,193,194,0,2
67,TreeNode,195,196,0,2
6,TreeNode,198,199,0,1
