start_id,start_vertex_type,end_id,end_vertex_type
2,TreeNode,1,TreeNode
311,TreeNode,2,TreeNode
312,TreeNode,2,TreeNode
313,TreeNode,2,TreeNode
314,TreeNode,2,TreeNode
315,TreeNode,2,TreeNode
316,TreeNode,2,TreeNode
317,TreeNode,2,TreeNode
318,TreeNode,2,TreeNode
3,TreeNode,1,TreeNode
4,TreeNode,1,TreeNode
16,TreeNode,4,TreeNode
17,TreeNode,4,TreeNode
802,TreeNode,17,TreeNode
803,TreeNode,17,TreeNode
804,TreeNode,17,TreeNode
805,TreeNode,17,TreeNode
806,TreeNode,17,TreeNode
818,TreeNode,806,TreeNode
819,TreeNode,806,TreeNode
827,TreeNode,819,TreeNode
828,TreeNode,819,TreeNode
829,TreeNode,819,TreeNode
830,TreeNode,819,TreeNode
831,TreeNode,819,TreeNode
832,TreeNode,819,TreeNode
833,TreeNode,819,TreeNode
834,TreeNode,819,TreeNode
820,TreeNode,806,TreeNode
821,TreeNode,806,TreeNode
822,TreeNode,806,TreeNode
823,TreeNode,806,TreeNode
824,TreeNode,806,TreeNode
825,TreeNode,806,TreeNode
826,TreeNode,806,TreeNode
807,TreeNode,17,TreeNode
808,TreeNode,17,TreeNode
18,TreeNode,4,TreeNode
32,TreeNode,18,TreeNode
248,TreeNode,32,TreeNode
249,TreeNode,32,TreeNode
250,TreeNode,32,TreeNode
251,TreeNode,32,TreeNode
255,TreeNode,251,TreeNode
256,TreeNode,251,TreeNode
964,TreeNode,256,TreeNode
965,TreeNode,256,TreeNode
966,TreeNode,256,TreeNode
967,TreeNode,256,TreeNode
968,TreeNode,256,TreeNode
969,TreeNode,256,TreeNode
970,TreeNode,256,TreeNode
257,TreeNode,251,TreeNode
258,TreeNode,251,TreeNode
259,TreeNode,251,TreeNode
260,TreeNode,251,TreeNode
596,TreeNode,260,TreeNode
603,TreeNode,596,TreeNode
604,TreeNode,596,TreeNode
605,TreeNode,596,TreeNode
606,TreeNode,596,TreeNode
867,TreeNode,606,TreeNode
