id,type,dewey,height,depth
1,TreeNode,1,21,0
2,TreeNode,1.1,1,1
67647,TreeNode,1.1.1,0,2
67648,TreeNode,1.1.2,0,2
67649,TreeNode,1.1.3,0,2
67650,TreeNode,1.1.4,0,2
67651,TreeNode,1.1.5,0,2
67652,TreeNode,1.1.6,0,2
67653,TreeNode,1.1.7,0,2
67654,TreeNode,1.1.8,0,2
67655,TreeNode,1.1.9,0,2
67656,TreeNode,1.1.10,0,2
67657,TreeNode,1.1.11,0,2
67658,TreeNode,1.1.12,0,2
3,TreeNode,1.2,9,1
3118,TreeNode,1.2.1,0,2
3119,TreeNode,1.2.2,0,2
3120,TreeNode,1.2.3,0,2
3121,TreeNode,1.2.4,0,2
3122,TreeNode,1.2.5,8,2
3378,TreeNode,1.2.5.1,0,3
3379,TreeNode,1.2.5.2,0,3
3380,TreeNode,1.2.5.3,0,3
3381,TreeNode,1.2.5.4,0,3
3382,TreeNode,1.2.5.5,0,3
3383,TreeNode,1.2.5.6,1,3
73032,TreeNode,1.2.5.6.1,0,4
73033,TreeNode,1.2.5.6.2,0,4
73034,TreeNode,1.2.5.6.3,0,4
73035,TreeNode,1.2.5.6.4,0,4
73036,TreeNode,1.2.5.6.5,0,4
73037,TreeNode,1.2.5.6.6,0,4
73038,TreeNode,1.2.5.6.7,0,4
73039,TreeNode,1.2.5.6.8,0,4
73040,TreeNode,1.2.5.6.9,0,4
73041,TreeNode,1.2.5.6.10,0,4
73042,TreeNode,1.2.5.6.11,0,4
73043,TreeNode,1.2.5.6.12,0,4
3384,TreeNode,1.2.5.7,1,3
66922,TreeNode,1.2.5.7.1,0,4
66923,TreeNode,1.2.5.7.2,0,4
66924,TreeNode,1.2.5.7.3,0,4
66925,TreeNode,1.2.5.7.4,0,4
66926,TreeNode,1.2.5.7.5,0,4
66927,TreeNode,1.2.5.7.6,0,4
66928,TreeNode,1.2.5.7.7,0,4
66929,TreeNode,1.2.5.7.8,0,4
66930,TreeNode,1.2.5.7.9,0,4
66931,TreeNode,1.2.5.7.10,0,4
66932,TreeNode,1.2.5.7.11,0,4
66933,TreeNode,1.2.5.7.12,0,4
66934,TreeNode,1.2.5.7.13,0,4
3385,TreeNode,1.2.5.8,7,3
7342,TreeNode,1.2.5.8.1,0,4
7343,TreeNode,1.2.5.8.2,0,4
7344,TreeNode,1.2.5.8.3,6,4
14200,TreeNode,1.2.5.8.3.1,3,5
23634,TreeNode,1.2.5.8.3.1.1,1,6
65258,TreeNode,1.2.5.8.3.1.1.1,0,7
65259,TreeNode,1.2.5.8.3.1.1.2,0,7
65260,TreeNode,1.2.5.8.3.1.1.3,0,7
65261,TreeNode,1.2.5.8.3.1.1.4,0,7
65262,TreeNode,1.2.5.8.3.1.1.5,0,7
65263,TreeNode,1.2.5.8.3.1.1.6,0,7
65264,TreeNode,1.2.5.8.3.1.1.7,0,7
65265,TreeNode,1.2.5.8.3.1.1.8,0,7
65266,TreeNode,1.2.5.8.3.1.1.9,0,7
65267,TreeNode,1.2.5.8.3.1.1.10,0,7
65268,TreeNode,1.2.5.8.3.1.1.11,0,7
65269,TreeNode,1.2.5.8.3.1.1.12,0,7
65270,TreeNode,1.2.5.8.3.1.1.13,0,7
23635,TreeNode,1.2.5.8.3.1.2,0,6
23636,TreeNode,1.2.5.8.3.1.3,0,6
23637,TreeNode,1.2.5.8.3.1.4,2,6
59087,TreeNode,1.2.5.8.3.1.4.1,0,7
59088,TreeNode,1.2.5.8.3.1.4.2,0,7
59089,TreeNode,1.2.5.8.3.1.4.3,0,7
59090,TreeNode,1.2.5.8.3.1.4.4,0,7
59091,TreeNode,1.2.5.8.3.1.4.5,0,7
59092,TreeNode,1.2.5.8.3.1.4.6,0,7
59093,TreeNode,1.2.5.8.3.1.4.7,0,7
59094,TreeNode,1.2.5.8.3.1.4.8,1,7
90258,TreeNode,1.2.5.8.3.1.4.8.1,0,8
90259,TreeNode,1.2.5.8.3.1.4.8.2,0,8
90260,TreeNode,1.2.5.8.3.1.4.8.3,0,8
90261,TreeNode,1.2.5.8.3.1.4.8.4,0,8
90262,TreeNode,1.2.5.8.3.1.4.8.5,0,8
90263,TreeNode,1.2.5.8.3.1.4.8.6,0,8
90264,TreeNode,1.2.5.8.3.1.4.8.7,0,8
90265,TreeNode,1.2.5.8.3.1.4.8.8,0,8
90266,TreeNode,1.2.5.8.3.1.4.8.9,0,8
90267,TreeNode,1.2.5.8.3.1.4.8.10,0,8
90268,TreeNode,1.2.5.8.3.1.4.8.11,0,8
90269,TreeNode,1.2.5.8.3.1.4.8.12,0,8
59095,TreeNode,1.2.5.8.3.1.4.9,0,7
59096,TreeNode,1.2.5.8.3.1.4.10,0,7
59097,TreeNode,1.2.5.8.3.1.4.11,0,7
23638,TreeNode,1.2.5.8.3.1.5,0,6
23639,TreeNode,1.2.5.8.3.1.6,1,6
56022,TreeNode,1.2.5.8.3.1.6.1,0,7
56023,TreeNode,1.2.5.8.3.1.6.2,0,7
56024,TreeNode,1.2.5.8.3.1.6.3,0,7
56025,TreeNode,1.2.5.8.3.1.6.4,0,7
