graph,query,parameter,value
artificial_forests_40,01_insert_last_child_under_last_root,rootid,41
artificial_forests_40,02_insert_first_child_under_first_root,rootid,2
artificial_forests_1000,01_insert_last_child_under_last_root,rootid,998
artificial_forests_1000,02_insert_first_child_under_first_root,rootid,2
artificial_trees_truebase_10,01_insert_last_child_under_last_root,rootid,1
artificial_trees_truebase_10,02_insert_first_child_under_first_root,rootid,1
artificial_trees_truebase_100,01_insert_last_child_under_last_root,rootid,1
artificial_trees_truebase_100,02_insert_first_child_under_first_root,rootid,1
artificial_trees_truebase_1000,01_insert_last_child_under_last_root,rootid,1
artificial_trees_truebase_1000,02_insert_first_child_under_first_root,rootid,1
artificial_trees_truebase_10000,01_insert_last_child_under_last_root,rootid,1
artificial_trees_truebase_10000,02_insert_first_child_under_first_root,rootid,1
artificial_trees_truebase_100000,01_insert_last_child_under_last_root,rootid,1
artificial_trees_truebase_100000,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultratall_10,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultratall_10,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultratall_100,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultratall_100,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultratall_1000,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultratall_1000,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultratall_10000,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultratall_10000,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultratall_100000,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultratall_100000,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultrawide_10,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultrawide_10,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultrawide_100,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultrawide_100,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultrawide_1000,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultrawide_1000,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultrawide_10000,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultrawide_10000,02_insert_first_child_under_first_root,rootid,1
artificial_trees_ultrawide_100000,01_insert_last_child_under_last_root,rootid,1
artificial_trees_ultrawide_100000,02_insert_first_child_under_first_root,rootid,1
snb_sf1_comment,01_insert_last_child_under_last_root,rootid,2199029885578
snb_sf1_comment,02_insert_first_child_under_first_root,rootid,557
snb_sf1_place,01_insert_last_child_under_last_root,rootid,1460
snb_sf1_place,02_insert_first_child_under_first_root,rootid,1455
snb_sf1_tagclass,01_insert_last_child_under_last_root,rootid,1
snb_sf1_tagclass,02_insert_first_child_under_first_root,rootid,1
