graph,query,scenario,parameter,value
artificial_forests_1000,01_all_descendants,q01_q02,rootid,322
artificial_forests_1000,01_all_descendants,q03,rootid,84
artificial_forests_1000,01_all_descendants,q04,rootid,87
artificial_forests_1000,02_all_children,q05,rootid,84
artificial_forests_1000,02_all_children,q06,rootid,126
artificial_forests_1000,05_all_leaves,q01_q02,rootid,322
artificial_forests_1000,05_all_leaves,q03,rootid,84
artificial_forests_1000,05_all_leaves,q04,rootid,87
artificial_forests_1000,11_check_if_ancestor,q07,id1,2
artificial_forests_1000,11_check_if_ancestor,q07,id2,126
artificial_forests_1000,11_check_if_ancestor,q08,id1,114
artificial_forests_1000,11_check_if_ancestor,q08,id2,126
artificial_forests_1000,11_check_if_ancestor,q09,id1,2
artificial_forests_1000,11_check_if_ancestor,q09,id2,198
artificial_forests_1000,11_check_if_ancestor,q10,id1,126
artificial_forests_1000,11_check_if_ancestor,q10,id2,254
artificial_forests_40,01_all_descendants,q01_q02,rootid,2
artificial_forests_40,01_all_descendants,q03,rootid,5
artificial_forests_40,01_all_descendants,q04,rootid,33
artificial_forests_40,02_all_children,q05,rootid,5
artificial_forests_40,02_all_children,q06,rootid,7
artificial_forests_40,05_all_leaves,q01_q02,rootid,2
artificial_forests_40,05_all_leaves,q03,rootid,5
artificial_forests_40,05_all_leaves,q04,rootid,33
artificial_forests_40,11_check_if_ancestor,q07,id1,2
artificial_forests_40,11_check_if_ancestor,q07,id2,7
artificial_forests_40,11_check_if_ancestor,q08,id1,5
artificial_forests_40,11_check_if_ancestor,q08,id2,7
artificial_forests_40,11_check_if_ancestor,q09,id1,2
artificial_forests_40,11_check_if_ancestor,q09,id2,11
artificial_forests_40,11_check_if_ancestor,q10,id1,7
artificial_forests_40,11_check_if_ancestor,q10,id2,17
artificial_trees_truebase_10,01_all_descendants,q01_q02,rootid,1
artificial_trees_truebase_10,01_all_descendants,q03_q04,rootid,7
artificial_trees_truebase_10,02_all_children,q05,rootid,7
artificial_trees_truebase_10,02_all_children,q06,rootid,8
artificial_trees_truebase_10,05_all_leaves,q01_q02,rootid,1
artificial_trees_truebase_10,05_all_leaves,q03_q04,rootid,7
artificial_trees_truebase_10,11_check_if_ancestor,q07,id1,1
artificial_trees_truebase_10,11_check_if_ancestor,q07,id2,8
artificial_trees_truebase_10,11_check_if_ancestor,q08,id1,7
artificial_trees_truebase_10,11_check_if_ancestor,q08,id2,8
artificial_trees_truebase_10,11_check_if_ancestor,q09,id1,5
artificial_trees_truebase_10,11_check_if_ancestor,q09,id2,6
artificial_trees_truebase_10,11_check_if_ancestor,q10,id1,5
artificial_trees_truebase_10,11_check_if_ancestor,q10,id2,8
artificial_trees_truebase_100,01_all_descendants,q01_q02,rootid,1
