graph,query,scenario,run,runtime_ms
artificial_forests_1000_baseline,01_all_descendants,q01_q02,1,444.339
artificial_forests_1000_baseline,01_all_descendants,q01_q02,2,441.456
artificial_forests_1000_baseline,01_all_descendants,q01_q02,3,441.595
artificial_forests_1000_baseline,01_all_descendants,q01_q02,4,441.962
artificial_forests_1000_baseline,01_all_descendants,q01_q02,5,433.400
artificial_forests_1000_baseline,01_all_descendants,q04,1,12.968
artificial_forests_1000_baseline,01_all_descendants,q04,2,11.702
artificial_forests_1000_baseline,01_all_descendants,q04,3,13.648
artificial_forests_1000_baseline,01_all_descendants,q04,4,13.020
artificial_forests_1000_baseline,01_all_descendants,q04,5,13.046
artificial_forests_1000_dewey,01_all_descendants,q01_q02,1,2.426
artificial_forests_1000_dewey,01_all_descendants,q01_q02,2,2.265
artificial_forests_1000_dewey,01_all_descendants,q01_q02,3,2.265
artificial_forests_1000_dewey,01_all_descendants,q01_q02,4,2.261
artificial_forests_1000_dewey,01_all_descendants,q01_q02,5,2.125
artificial_forests_1000_dewey,01_all_descendants,q04,1,2.294
artificial_forests_1000_dewey,01_all_descendants,q04,2,2.108
artificial_forests_1000_dewey,01_all_descendants,q04,3,1.950
artificial_forests_1000_dewey,01_all_descendants,q04,4,1.926
artificial_forests_1000_dewey,01_all_descendants,q04,5,1.873
artificial_forests_1000_prepost,01_all_descendants,q01_q02,1,2.383
artificial_forests_1000_prepost,01_all_descendants,q01_q02,2,2.276
artificial_forests_1000_prepost,01_all_descendants,q01_q02,3,2.076
artificial_forests_1000_prepost,01_all_descendants,q01_q02,4,2.258
artificial_forests_1000_prepost,01_all_descendants,q01_q02,5,2.514
artificial_forests_1000_prepost,01_all_descendants,q04,1,2.114
artificial_forests_1000_prepost,01_all_descendants,q04,2,1.983
artificial_forests_1000_prepost,01_all_descendants,q04,3,1.454
artificial_forests_1000_prepost,01_all_descendants,q04,4,1.828
artificial_forests_1000_prepost,01_all_descendants,q04,5,1.754
artificial_forests_1000_baseline,11_check_if_ancestor,q07,1,12.471
artificial_forests_1000_baseline,11_check_if_ancestor,q07,2,11.859
artificial_forests_1000_baseline,11_check_if_ancestor,q07,3,13.072
artificial_forests_1000_baseline,11_check_if_ancestor,q07,4,12.179
artificial_forests_1000_baseline,11_check_if_ancestor,q07,5,13.014
artificial_forests_1000_baseline,11_check_if_ancestor,q08,1,12.104
artificial_forests_1000_baseline,11_check_if_ancestor,q08,2,12.007
artificial_forests_1000_baseline,11_check_if_ancestor,q08,3,12.854
artificial_forests_1000_baseline,11_check_if_ancestor,q08,4,12.791
artificial_forests_1000_baseline,11_check_if_ancestor,q08,5,12.246
artificial_forests_1000_dewey,11_check_if_ancestor,q07,1,1.574
artificial_forests_1000_dewey,11_check_if_ancestor,q07,2,1.441
artificial_forests_1000_dewey,11_check_if_ancestor,q07,3,1.419
artificial_forests_1000_dewey,11_check_if_ancestor,q07,4,1.379
artificial_forests_1000_dewey,11_check_if_ancestor,q07,5,1.372
artificial_forests_1000_dewey,11_check_if_ancestor,q08,1,1.596
artificial_forests_1000_dewey,11_check_if_ancestor,q08,2,1.615
artificial_forests_1000_dewey,11_check_if_ancestor,q08,3,1.900
artificial_forests_1000_dewey,11_check_if_ancestor,q08,4,1.628
artificial_forests_1000_dewey,11_check_if_ancestor,q08,5,1.633
artificial_forests_1000_prepost,11_check_if_ancestor,q07,1,1.531
artificial_forests_1000_prepost,11_check_if_ancestor,q07,2,1.455
artificial_forests_1000_prepost,11_check_if_ancestor,q07,3,1.561
artificial_forests_1000_prepost,11_check_if_ancestor,q07,4,1.477
artificial_forests_1000_prepost,11_check_if_ancestor,q07,5,1.445
artificial_forests_1000_prepost,11_check_if_ancestor,q08,1,1.531
artificial_forests_1000_prepost,11_check_if_ancestor,q08,2,1.448
artificial_forests_1000_prepost,11_check_if_ancestor,q08,3,1.443
artificial_forests_1000_prepost,11_check_if_ancestor,q08,4,1.455
artificial_forests_1000_prepost,11_check_if_ancestor,q08,5,1.551
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,1,25.991
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,2,25.971
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,3,23.499
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,4,22.398
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,5,27.550
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,1,11.701
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,2,11.713
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,3,11.736
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,4,11.835
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,5,10.215
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,1,2.075
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,2,2.209
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,3,2.264
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,4,2.194
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,5,1.683
