graph,query,run,runtime_ms
snb_sf1_baseline,interactive-complex-12,1,190028.791
snb_sf1_baseline,interactive-complex-12,2,190126.733
snb_sf1_baseline,interactive-complex-12,3,187081.153
snb_sf1_baseline,interactive-complex-12,4,188529.785
snb_sf1_baseline,interactive-complex-12,5,186617.062
snb_sf1_dewey,interactive-complex-12,1,171312.442
snb_sf1_dewey,interactive-complex-12,2,172307.214
snb_sf1_dewey,interactive-complex-12,3,170910.577
snb_sf1_dewey,interactive-complex-12,4,170715.638
snb_sf1_dewey,interactive-complex-12,5,169787.851
snb_sf1_prepost,interactive-complex-12,1,173980.686
snb_sf1_prepost,interactive-complex-12,2,175224.461
snb_sf1_prepost,interactive-complex-12,3,174615.515
snb_sf1_prepost,interactive-complex-12,4,172683.407
snb_sf1_prepost,interactive-complex-12,5,173031.701
snb_sf1_baseline,interactive-short-2,1,61555.949
snb_sf1_baseline,interactive-short-2,2,61383.859
snb_sf1_baseline,interactive-short-2,3,61994.358
snb_sf1_baseline,interactive-short-2,4,61237.426
snb_sf1_baseline,interactive-short-2,5,61240.626
snb_sf1_dewey,interactive-short-2,1,3862.690
snb_sf1_dewey,interactive-short-2,2,3848.879
snb_sf1_dewey,interactive-short-2,3,3832.726
snb_sf1_dewey,interactive-short-2,4,3836.157
snb_sf1_dewey,interactive-short-2,5,3842.891
snb_sf1_prepost,interactive-short-2,1,11083.095
snb_sf1_prepost,interactive-short-2,2,13099.763
snb_sf1_prepost,interactive-short-2,3,13060.742
snb_sf1_prepost,interactive-short-2,4,11137.187
snb_sf1_prepost,interactive-short-2,5,13064.033
snb_sf1_baseline,interactive-short-6,1,17255.647
snb_sf1_baseline,interactive-short-6,2,17386.793
snb_sf1_baseline,interactive-short-6,3,17204.309
snb_sf1_baseline,interactive-short-6,4,17465.901
snb_sf1_baseline,interactive-short-6,5,17296.910
snb_sf1_dewey,interactive-short-6,1,2187.209
snb_sf1_dewey,interactive-short-6,2,2166.062
snb_sf1_dewey,interactive-short-6,3,2172.181
snb_sf1_dewey,interactive-short-6,4,2186.305
snb_sf1_dewey,interactive-short-6,5,2167.416
snb_sf1_prepost,interactive-short-6,1,3269.589
snb_sf1_prepost,interactive-short-6,2,3247.593
snb_sf1_prepost,interactive-short-6,3,3272.940
snb_sf1_prepost,interactive-short-6,4,3306.130
snb_sf1_prepost,interactive-short-6,5,3265.360
