graph,query,run,runtime_ms
artificial_forests_1000_baseline,01_insert_last_child_under_last_root,1,2.644
artificial_forests_1000_baseline,01_insert_last_child_under_last_root,2,2.450
artificial_forests_1000_baseline,01_insert_last_child_under_last_root,3,2.435
artificial_forests_1000_baseline,01_insert_last_child_under_last_root,4,2.431
artificial_forests_1000_baseline,01_insert_last_child_under_last_root,5,2.544
artificial_forests_1000_baseline,02_insert_first_child_under_first_root,1,2.868
artificial_forests_1000_baseline,02_insert_first_child_under_first_root,2,2.824
artificial_forests_1000_baseline,02_insert_first_child_under_first_root,3,2.688
artificial_forests_1000_baseline,02_insert_first_child_under_first_root,4,2.599
artificial_forests_1000_baseline,02_insert_first_child_under_first_root,5,2.585
artificial_forests_1000_baseline,03_insert_last_root,1,1.514
artificial_forests_1000_baseline,03_insert_last_root,2,1.519
artificial_forests_1000_baseline,03_insert_last_root,3,1.466
artificial_forests_1000_baseline,03_insert_last_root,4,1.565
artificial_forests_1000_baseline,03_insert_last_root,5,1.639
artificial_forests_1000_baseline,04_insert_first_root,1,1.721
artificial_forests_1000_baseline,04_insert_first_root,2,1.513
artificial_forests_1000_baseline,04_insert_first_root,3,1.177
artificial_forests_1000_baseline,04_insert_first_root,4,1.550
artificial_forests_1000_baseline,04_insert_first_root,5,1.796
artificial_forests_1000_dewey,01_insert_last_child_under_last_root,1,5.070
artificial_forests_1000_dewey,01_insert_last_child_under_last_root,2,4.965
artificial_forests_1000_dewey,01_insert_last_child_under_last_root,3,4.809
artificial_forests_1000_dewey,01_insert_last_child_under_last_root,4,5.258
artificial_forests_1000_dewey,01_insert_last_child_under_last_root,5,4.623
artificial_forests_1000_dewey,02_insert_first_child_under_first_root,1,9.568
artificial_forests_1000_dewey,02_insert_first_child_under_first_root,2,6.950
artificial_forests_1000_dewey,02_insert_first_child_under_first_root,3,8.123
artificial_forests_1000_dewey,02_insert_first_child_under_first_root,4,8.035
artificial_forests_1000_dewey,02_insert_first_child_under_first_root,5,8.060
artificial_forests_1000_dewey,03_insert_last_root,1,1.963
artificial_forests_1000_dewey,03_insert_last_root,2,2.494
artificial_forests_1000_dewey,03_insert_last_root,3,2.097
artificial_forests_1000_dewey,03_insert_last_root,4,2.015
artificial_forests_1000_dewey,03_insert_last_root,5,1.993
artificial_forests_1000_dewey,04_insert_first_root,1,20.113
artificial_forests_1000_dewey,04_insert_first_root,2,18.749
artificial_forests_1000_dewey,04_insert_first_root,3,18.873
artificial_forests_1000_dewey,04_insert_first_root,4,18.690
artificial_forests_1000_dewey,04_insert_first_root,5,18.961
artificial_forests_1000_prepost,01_insert_last_child_under_last_root,1,4.877
artificial_forests_1000_prepost,01_insert_last_child_under_last_root,2,4.217
artificial_forests_1000_prepost,01_insert_last_child_under_last_root,3,4.125
artificial_forests_1000_prepost,01_insert_last_child_under_last_root,4,4.487
artificial_forests_1000_prepost,01_insert_last_child_under_last_root,5,3.307
artificial_forests_1000_prepost,02_insert_first_child_under_first_root,1,15.311
