graph,query,scenario,run,runtime_ms
artificial_forests_40_baseline,01_all_descendants,q01_q02,1,9.785
artificial_forests_40_baseline,01_all_descendants,q01_q02,2,9.572
artificial_forests_40_baseline,01_all_descendants,q01_q02,3,9.618
artificial_forests_40_baseline,01_all_descendants,q01_q02,4,9.193
artificial_forests_40_baseline,01_all_descendants,q01_q02,5,9.595
artificial_forests_40_dewey,01_all_descendants,q01_q02,1,1.640
artificial_forests_40_dewey,01_all_descendants,q01_q02,2,1.436
artificial_forests_40_dewey,01_all_descendants,q01_q02,3,1.427
artificial_forests_40_dewey,01_all_descendants,q01_q02,4,1.384
artificial_forests_40_dewey,01_all_descendants,q01_q02,5,1.391
artificial_forests_40_prepost,01_all_descendants,q01_q02,1,1.596
artificial_forests_40_prepost,01_all_descendants,q01_q02,2,1.421
artificial_forests_40_prepost,01_all_descendants,q01_q02,3,1.369
artificial_forests_40_prepost,01_all_descendants,q01_q02,4,1.400
artificial_forests_40_prepost,01_all_descendants,q01_q02,5,1.374
artificial_forests_40_baseline,01_all_descendants,q03,1,8.774
artificial_forests_40_baseline,01_all_descendants,q03,2,8.525
artificial_forests_40_baseline,01_all_descendants,q03,3,8.985
artificial_forests_40_baseline,01_all_descendants,q03,4,8.690
artificial_forests_40_baseline,01_all_descendants,q03,5,9.220
artificial_forests_40_dewey,01_all_descendants,q03,1,1.387
artificial_forests_40_dewey,01_all_descendants,q03,2,1.401
artificial_forests_40_dewey,01_all_descendants,q03,3,1.400
artificial_forests_40_dewey,01_all_descendants,q03,4,1.364
artificial_forests_40_dewey,01_all_descendants,q03,5,1.385
artificial_forests_40_prepost,01_all_descendants,q03,1,1.266
artificial_forests_40_prepost,01_all_descendants,q03,2,1.458
artificial_forests_40_prepost,01_all_descendants,q03,3,1.376
artificial_forests_40_prepost,01_all_descendants,q03,4,1.414
artificial_forests_40_prepost,01_all_descendants,q03,5,1.241
artificial_forests_40_baseline,01_all_descendants,q04,1,8.845
artificial_forests_40_baseline,01_all_descendants,q04,2,8.862
artificial_forests_40_baseline,01_all_descendants,q04,3,8.742
