graph,query,scenario,run,runtime_ms
artificial_forests_40_baseline,01_all_descendants,q01_q02,1,3.503
artificial_forests_40_baseline,01_all_descendants,q01_q02,2,3.043
artificial_forests_40_baseline,01_all_descendants,q01_q02,3,3.259
artificial_forests_40_baseline,01_all_descendants,q01_q02,4,2.383
artificial_forests_40_baseline,01_all_descendants,q01_q02,5,3.006
artificial_forests_40_dewey,01_all_descendants,q01_q02,1,1.990
artificial_forests_40_dewey,01_all_descendants,q01_q02,2,1.884
artificial_forests_40_dewey,01_all_descendants,q01_q02,3,2.205
artificial_forests_40_dewey,01_all_descendants,q01_q02,4,1.891
artificial_forests_40_dewey,01_all_descendants,q01_q02,5,1.574
artificial_forests_40_prepost,01_all_descendants,q01_q02,1,1.905
artificial_forests_40_prepost,01_all_descendants,q01_q02,2,1.845
artificial_forests_40_prepost,01_all_descendants,q01_q02,3,1.868
artificial_forests_40_prepost,01_all_descendants,q01_q02,4,1.941
artificial_forests_40_prepost,01_all_descendants,q01_q02,5,1.987
artificial_forests_40_baseline,01_all_descendants,q03,1,2.678
artificial_forests_40_baseline,01_all_descendants,q03,2,3.313
artificial_forests_40_baseline,01_all_descendants,q03,3,2.592
artificial_forests_40_baseline,01_all_descendants,q03,4,2.645
artificial_forests_40_baseline,01_all_descendants,q03,5,3.204
artificial_forests_40_dewey,01_all_descendants,q03,1,1.880
artificial_forests_40_dewey,01_all_descendants,q03,2,1.578
artificial_forests_40_dewey,01_all_descendants,q03,3,1.133
artificial_forests_40_dewey,01_all_descendants,q03,4,1.423
artificial_forests_40_dewey,01_all_descendants,q03,5,1.223
artificial_forests_40_prepost,01_all_descendants,q03,1,1.547
artificial_forests_40_prepost,01_all_descendants,q03,2,1.270
artificial_forests_40_prepost,01_all_descendants,q03,3,1.229
artificial_forests_40_prepost,01_all_descendants,q03,4,1.259
artificial_forests_40_prepost,01_all_descendants,q03,5,1.448
artificial_forests_40_baseline,01_all_descendants,q04,1,3.068
artificial_forests_40_baseline,01_all_descendants,q04,2,2.659
artificial_forests_40_baseline,01_all_descendants,q04,3,2.631
artificial_forests_40_baseline,01_all_descendants,q04,4,2.977
artificial_forests_40_baseline,01_all_descendants,q04,5,2.708
artificial_forests_40_dewey,01_all_descendants,q04,1,1.871
artificial_forests_40_dewey,01_all_descendants,q04,2,1.874
artificial_forests_40_dewey,01_all_descendants,q04,3,1.618
artificial_forests_40_dewey,01_all_descendants,q04,4,2.141
artificial_forests_40_dewey,01_all_descendants,q04,5,1.986
artificial_forests_40_prepost,01_all_descendants,q04,1,1.986
artificial_forests_40_prepost,01_all_descendants,q04,2,1.662
artificial_forests_40_prepost,01_all_descendants,q04,3,1.645
artificial_forests_40_prepost,01_all_descendants,q04,4,1.967
artificial_forests_40_prepost,01_all_descendants,q04,5,1.533
artificial_forests_1000_baseline,01_all_descendants,q01_q02,1,17.633
artificial_forests_1000_baseline,01_all_descendants,q01_q02,2,5.723
artificial_forests_1000_baseline,01_all_descendants,q01_q02,3,6.609
artificial_forests_1000_baseline,01_all_descendants,q01_q02,4,6.348
artificial_forests_1000_baseline,01_all_descendants,q01_q02,5,6.119
artificial_forests_1000_dewey,01_all_descendants,q01_q02,1,9.165
artificial_forests_1000_dewey,01_all_descendants,q01_q02,2,2.603
artificial_forests_1000_dewey,01_all_descendants,q01_q02,3,3.089
artificial_forests_1000_dewey,01_all_descendants,q01_q02,4,2.828
artificial_forests_1000_dewey,01_all_descendants,q01_q02,5,3.131
artificial_forests_1000_prepost,01_all_descendants,q01_q02,1,6.784
artificial_forests_1000_prepost,01_all_descendants,q01_q02,2,2.213
artificial_forests_1000_prepost,01_all_descendants,q01_q02,3,2.788
artificial_forests_1000_prepost,01_all_descendants,q01_q02,4,2.515
artificial_forests_1000_prepost,01_all_descendants,q01_q02,5,2.241
artificial_forests_1000_baseline,01_all_descendants,q03,1,5.434
artificial_forests_1000_baseline,01_all_descendants,q03,2,4.426
artificial_forests_1000_baseline,01_all_descendants,q03,3,4.194
artificial_forests_1000_baseline,01_all_descendants,q03,4,3.790
artificial_forests_1000_baseline,01_all_descendants,q03,5,3.966
artificial_forests_1000_dewey,01_all_descendants,q03,1,2.613
artificial_forests_1000_dewey,01_all_descendants,q03,2,1.998
artificial_forests_1000_dewey,01_all_descendants,q03,3,1.887
artificial_forests_1000_dewey,01_all_descendants,q03,4,1.453
artificial_forests_1000_dewey,01_all_descendants,q03,5,1.653
artificial_forests_1000_prepost,01_all_descendants,q03,1,2.235
artificial_forests_1000_prepost,01_all_descendants,q03,2,2.286
artificial_forests_1000_prepost,01_all_descendants,q03,3,1.533
artificial_forests_1000_prepost,01_all_descendants,q03,4,2.005
artificial_forests_1000_prepost,01_all_descendants,q03,5,2.288
artificial_forests_1000_baseline,01_all_descendants,q04,1,5.878
artificial_forests_1000_baseline,01_all_descendants,q04,2,4.812
artificial_forests_1000_baseline,01_all_descendants,q04,3,3.564
artificial_forests_1000_baseline,01_all_descendants,q04,4,3.373
artificial_forests_1000_baseline,01_all_descendants,q04,5,3.313
artificial_forests_1000_dewey,01_all_descendants,q04,1,1.697
artificial_forests_1000_dewey,01_all_descendants,q04,2,1.535
artificial_forests_1000_dewey,01_all_descendants,q04,3,2.235
artificial_forests_1000_dewey,01_all_descendants,q04,4,2.291
artificial_forests_1000_dewey,01_all_descendants,q04,5,2.043
artificial_forests_1000_prepost,01_all_descendants,q04,1,2.366
artificial_forests_1000_prepost,01_all_descendants,q04,2,1.963
artificial_forests_1000_prepost,01_all_descendants,q04,3,2.002
artificial_forests_1000_prepost,01_all_descendants,q04,4,1.666
artificial_forests_1000_prepost,01_all_descendants,q04,5,1.161
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,1,3.345
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,2,3.124
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,3,2.579
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,4,2.789
artificial_trees_truebase_10_baseline,01_all_descendants,q01_q02,5,2.540
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,1,2.011
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,2,1.995
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,3,2.150
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,4,1.261
artificial_trees_truebase_10_dewey,01_all_descendants,q01_q02,5,1.813
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,1,1.673
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,2,1.720
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,3,1.604
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,4,1.766
artificial_trees_truebase_10_prepost,01_all_descendants,q01_q02,5,1.693
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,1,3.082
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,2,2.593
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,3,2.202
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,4,2.524
artificial_trees_truebase_10_baseline,01_all_descendants,q03_q04,5,2.686
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,1,1.714
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,2,1.738
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,3,1.827
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,4,1.893
artificial_trees_truebase_10_dewey,01_all_descendants,q03_q04,5,1.707
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,1,1.562
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,2,1.848
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,3,1.513
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,4,1.363
artificial_trees_truebase_10_prepost,01_all_descendants,q03_q04,5,1.275
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,1,4.382
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,2,3.703
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,3,4.207
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,4,2.755
artificial_trees_truebase_100_baseline,01_all_descendants,q01_q02,5,3.881
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,1,2.180
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,2,1.726
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,3,1.538
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,4,1.319
artificial_trees_truebase_100_dewey,01_all_descendants,q01_q02,5,1.788
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,1,1.881
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,2,1.750
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,3,2.162
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,4,1.623
artificial_trees_truebase_100_prepost,01_all_descendants,q01_q02,5,1.561
artificial_trees_truebase_100_baseline,01_all_descendants,q03,1,4.153
artificial_trees_truebase_100_baseline,01_all_descendants,q03,2,3.531
artificial_trees_truebase_100_baseline,01_all_descendants,q03,3,3.068
artificial_trees_truebase_100_baseline,01_all_descendants,q03,4,2.541
artificial_trees_truebase_100_baseline,01_all_descendants,q03,5,2.819
artificial_trees_truebase_100_dewey,01_all_descendants,q03,1,2.676
artificial_trees_truebase_100_dewey,01_all_descendants,q03,2,1.893
artificial_trees_truebase_100_dewey,01_all_descendants,q03,3,1.664
artificial_trees_truebase_100_dewey,01_all_descendants,q03,4,1.844
artificial_trees_truebase_100_dewey,01_all_descendants,q03,5,1.393
artificial_trees_truebase_100_prepost,01_all_descendants,q03,1,1.871
artificial_trees_truebase_100_prepost,01_all_descendants,q03,2,1.322
artificial_trees_truebase_100_prepost,01_all_descendants,q03,3,1.534
artificial_trees_truebase_100_prepost,01_all_descendants,q03,4,1.580
artificial_trees_truebase_100_prepost,01_all_descendants,q03,5,1.846
artificial_trees_truebase_100_baseline,01_all_descendants,q04,1,3.337
artificial_trees_truebase_100_baseline,01_all_descendants,q04,2,2.443
artificial_trees_truebase_100_baseline,01_all_descendants,q04,3,3.057
artificial_trees_truebase_100_baseline,01_all_descendants,q04,4,2.889
artificial_trees_truebase_100_baseline,01_all_descendants,q04,5,2.935
artificial_trees_truebase_100_dewey,01_all_descendants,q04,1,2.048
artificial_trees_truebase_100_dewey,01_all_descendants,q04,2,1.912
artificial_trees_truebase_100_dewey,01_all_descendants,q04,3,1.358
artificial_trees_truebase_100_dewey,01_all_descendants,q04,4,1.349
artificial_trees_truebase_100_dewey,01_all_descendants,q04,5,1.517
artificial_trees_truebase_100_prepost,01_all_descendants,q04,1,1.830
artificial_trees_truebase_100_prepost,01_all_descendants,q04,2,1.774
artificial_trees_truebase_100_prepost,01_all_descendants,q04,3,1.526
artificial_trees_truebase_100_prepost,01_all_descendants,q04,4,1.670
artificial_trees_truebase_100_prepost,01_all_descendants,q04,5,1.269
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,1,11.776
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,2,10.135
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,3,7.598
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,4,10.326
artificial_trees_truebase_1000_baseline,01_all_descendants,q01_q02,5,10.006
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,1,2.189
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,2,1.937
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,3,1.959
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,4,1.622
artificial_trees_truebase_1000_dewey,01_all_descendants,q01_q02,5,2.485
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,1,1.829
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,2,2.047
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,3,2.501
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,4,2.406
artificial_trees_truebase_1000_prepost,01_all_descendants,q01_q02,5,2.050
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,1,4.058
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,2,3.239
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,3,2.835
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,4,2.943
artificial_trees_truebase_1000_baseline,01_all_descendants,q03,5,2.851
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,1,1.793
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,2,1.598
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,3,1.409
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,4,1.539
artificial_trees_truebase_1000_dewey,01_all_descendants,q03,5,1.293
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,1,2.253
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,2,2.057
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,3,1.671
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,4,1.625
artificial_trees_truebase_1000_prepost,01_all_descendants,q03,5,1.730
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,1,4.552
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,2,3.739
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,3,3.822
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,4,3.812
artificial_trees_truebase_1000_baseline,01_all_descendants,q04,5,3.425
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,1,1.743
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,2,1.928
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,3,1.725
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,4,1.925
artificial_trees_truebase_1000_dewey,01_all_descendants,q04,5,1.712
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,1,1.623
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,2,1.849
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,3,1.799
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,4,1.487
artificial_trees_truebase_1000_prepost,01_all_descendants,q04,5,1.794
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,1,88.148
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,2,97.425
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,3,101.257
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,4,104.366
artificial_trees_truebase_10000_baseline,01_all_descendants,q01_q02,5,107.410
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,1,6.218
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,2,10.707
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,3,6.730
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,4,11.392
artificial_trees_truebase_10000_dewey,01_all_descendants,q01_q02,5,10.835
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,1,6.123
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,2,8.854
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,3,9.167
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,4,9.476
artificial_trees_truebase_10000_prepost,01_all_descendants,q01_q02,5,9.329
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,1,3.746
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,2,3.084
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,3,2.711
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,4,1.934
artificial_trees_truebase_10000_baseline,01_all_descendants,q03,5,2.457
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,1,4.809
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,2,4.178
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,3,5.117
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,4,3.614
artificial_trees_truebase_10000_dewey,01_all_descendants,q03,5,6.285
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,1,2.667
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,2,2.506
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,3,2.526
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,4,2.399
artificial_trees_truebase_10000_prepost,01_all_descendants,q03,5,2.411
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,1,4.286
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,2,3.007
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,3,3.208
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,4,2.904
artificial_trees_truebase_10000_baseline,01_all_descendants,q04,5,2.599
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,1,4.774
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,2,3.996
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,3,5.899
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,4,6.497
artificial_trees_truebase_10000_dewey,01_all_descendants,q04,5,6.033
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,1,2.469
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,2,2.119
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,3,1.915
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,4,2.220
artificial_trees_truebase_10000_prepost,01_all_descendants,q04,5,2.163
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,1,157.487
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,2,261.234
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,3,273.060
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,4,273.052
artificial_trees_truebase_100000_baseline,01_all_descendants,q01_q02,5,237.617
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,1,76.586
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,2,91.728
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,3,92.569
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,4,91.917
artificial_trees_truebase_100000_dewey,01_all_descendants,q01_q02,5,91.229
artificial_trees_truebase_100000_prepost,01_all_descendants,q01_q02,1,78.807
artificial_trees_truebase_100000_prepost,01_all_descendants,q01_q02,2,76.568
artificial_trees_truebase_100000_prepost,01_all_descendants,q01_q02,3,76.645
