graph,query,run,runtime_ms
snb_sf1_baseline,interactive-complex-12,1,413.365
snb_sf1_baseline,interactive-complex-12,2,400.892
snb_sf1_baseline,interactive-complex-12,3,389.425
snb_sf1_baseline,interactive-complex-12,4,396.524
snb_sf1_baseline,interactive-complex-12,5,393.203
snb_sf1_dewey,interactive-complex-12,1,348.439
snb_sf1_dewey,interactive-complex-12,2,304.851
snb_sf1_dewey,interactive-complex-12,3,267.527
snb_sf1_dewey,interactive-complex-12,4,265.062
snb_sf1_dewey,interactive-complex-12,5,350.592
snb_sf1_prepost,interactive-complex-12,1,410.490
snb_sf1_prepost,interactive-complex-12,2,403.867
snb_sf1_prepost,interactive-complex-12,3,386.182
snb_sf1_prepost,interactive-complex-12,4,435.303
snb_sf1_prepost,interactive-complex-12,5,401.841
snb_sf1_baseline,interactive-short-2,1,60.569
snb_sf1_baseline,interactive-short-2,2,42.429
snb_sf1_baseline,interactive-short-2,3,44.976
snb_sf1_baseline,interactive-short-2,4,41.023
snb_sf1_baseline,interactive-short-2,5,43.709
snb_sf1_dewey,interactive-short-2,1,275.792
snb_sf1_dewey,interactive-short-2,2,240.185
snb_sf1_dewey,interactive-short-2,3,242.223
snb_sf1_dewey,interactive-short-2,4,276.735
snb_sf1_dewey,interactive-short-2,5,232.694
snb_sf1_prepost,interactive-short-2,1,277.390
snb_sf1_prepost,interactive-short-2,2,301.634
snb_sf1_prepost,interactive-short-2,3,283.741
snb_sf1_prepost,interactive-short-2,4,255.156
snb_sf1_prepost,interactive-short-2,5,232.630
snb_sf1_baseline,interactive-short-6,1,28.813
snb_sf1_baseline,interactive-short-6,2,21.629
snb_sf1_baseline,interactive-short-6,3,28.857
snb_sf1_baseline,interactive-short-6,4,21.731
snb_sf1_baseline,interactive-short-6,5,37.964
snb_sf1_dewey,interactive-short-6,1,42.377
snb_sf1_dewey,interactive-short-6,2,17.495
snb_sf1_dewey,interactive-short-6,3,22.864
snb_sf1_dewey,interactive-short-6,4,22.014
snb_sf1_dewey,interactive-short-6,5,33.378
snb_sf1_prepost,interactive-short-6,1,118.383
snb_sf1_prepost,interactive-short-6,2,114.674
snb_sf1_prepost,interactive-short-6,3,142.304
snb_sf1_prepost,interactive-short-6,4,118.573
snb_sf1_prepost,interactive-short-6,5,83.250
