graph,query,scenario,run,runtime_ms
artificial_forests_40_baseline,01_all_descendants,q01_q02,1,39.031
artificial_forests_40_baseline,01_all_descendants,q01_q02,2,2.162
artificial_forests_40_baseline,01_all_descendants,q01_q02,3,1.976
artificial_forests_40_baseline,01_all_descendants,q01_q02,4,1.992
artificial_forests_40_baseline,01_all_descendants,q01_q02,5,2.018
artificial_forests_40_dewey,01_all_descendants,q01_q02,1,36.637
artificial_forests_40_dewey,01_all_descendants,q01_q02,2,2.260
artificial_forests_40_dewey,01_all_descendants,q01_q02,3,2.038
artificial_forests_40_dewey,01_all_descendants,q01_q02,4,2.025
artificial_forests_40_dewey,01_all_descendants,q01_q02,5,2.038
artificial_forests_40_prepost,01_all_descendants,q01_q02,1,32.550
artificial_forests_40_prepost,01_all_descendants,q01_q02,2,2.301
artificial_forests_40_prepost,01_all_descendants,q01_q02,3,2.122
artificial_forests_40_prepost,01_all_descendants,q01_q02,4,2.110
artificial_forests_40_prepost,01_all_descendants,q01_q02,5,2.502
artificial_forests_40_baseline,01_all_descendants,q03,1,7.591
artificial_forests_40_baseline,01_all_descendants,q03,2,1.397
artificial_forests_40_baseline,01_all_descendants,q03,3,1.343
artificial_forests_40_baseline,01_all_descendants,q03,4,1.307
artificial_forests_40_baseline,01_all_descendants,q03,5,1.317
artificial_forests_40_dewey,01_all_descendants,q03,1,9.053
artificial_forests_40_dewey,01_all_descendants,q03,2,1.559
artificial_forests_40_dewey,01_all_descendants,q03,3,1.454
artificial_forests_40_dewey,01_all_descendants,q03,4,1.604
artificial_forests_40_dewey,01_all_descendants,q03,5,1.507
artificial_forests_40_prepost,01_all_descendants,q03,1,7.727
artificial_forests_40_prepost,01_all_descendants,q03,2,1.641
artificial_forests_40_prepost,01_all_descendants,q03,3,1.545
artificial_forests_40_prepost,01_all_descendants,q03,4,1.446
artificial_forests_40_prepost,01_all_descendants,q03,5,1.443
artificial_forests_40_baseline,01_all_descendants,q04,1,7.162
artificial_forests_40_baseline,01_all_descendants,q04,2,1.477
artificial_forests_40_baseline,01_all_descendants,q04,3,1.306
artificial_forests_40_baseline,01_all_descendants,q04,4,1.251
artificial_forests_40_baseline,01_all_descendants,q04,5,1.258
artificial_forests_40_dewey,01_all_descendants,q04,1,17.535
artificial_forests_40_dewey,01_all_descendants,q04,2,1.578
artificial_forests_40_dewey,01_all_descendants,q04,3,1.523
artificial_forests_40_dewey,01_all_descendants,q04,4,1.479
artificial_forests_40_dewey,01_all_descendants,q04,5,1.512
artificial_forests_40_prepost,01_all_descendants,q04,1,9.588
artificial_forests_40_prepost,01_all_descendants,q04,2,2.388
artificial_forests_40_prepost,01_all_descendants,q04,3,1.665
artificial_forests_40_prepost,01_all_descendants,q04,4,1.627
artificial_forests_40_prepost,01_all_descendants,q04,5,1.598
artificial_forests_1000_baseline,01_all_descendants,q01_q02,1,257.268
artificial_forests_1000_baseline,01_all_descendants,q01_q02,2,29.528
artificial_forests_1000_baseline,01_all_descendants,q01_q02,3,28.577
artificial_forests_1000_baseline,01_all_descendants,q01_q02,4,19.366
artificial_forests_1000_baseline,01_all_descendants,q01_q02,5,30.240
artificial_forests_1000_dewey,01_all_descendants,q01_q02,1,156.978
artificial_forests_1000_dewey,01_all_descendants,q01_q02,2,34.319
artificial_forests_1000_dewey,01_all_descendants,q01_q02,3,28.457
artificial_forests_1000_dewey,01_all_descendants,q01_q02,4,27.379
artificial_forests_1000_dewey,01_all_descendants,q01_q02,5,25.850
artificial_forests_1000_prepost,01_all_descendants,q01_q02,1,158.531
artificial_forests_1000_prepost,01_all_descendants,q01_q02,2,41.476
artificial_forests_1000_prepost,01_all_descendants,q01_q02,3,35.311
artificial_forests_1000_prepost,01_all_descendants,q01_q02,4,35.152
artificial_forests_1000_prepost,01_all_descendants,q01_q02,5,58.327
artificial_forests_1000_baseline,01_all_descendants,q03,1,15.920
artificial_forests_1000_baseline,01_all_descendants,q03,2,2.589
artificial_forests_1000_baseline,01_all_descendants,q03,3,1.917
