Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
s_all_comment,all_descendants,baseline,6.258
s_all_comment,all_descendants,dewey,283.798
s_all_comment,all_descendants,prepost,155.292
s_all_comment,all_children,baseline,5.133
s_all_comment,all_children,dewey,253.466
s_all_comment,all_children,prepost,165.682
s_all_comment,all_leaves,baseline,19.925
s_all_comment,all_leaves,dewey,478.514
s_all_comment,all_leaves,prepost,212.068
s_all_comment,count_descendants,baseline,10.999
s_all_comment,count_descendants,dewey,103.973
s_all_comment,count_descendants,prepost,0.898
s_all_comment,count_leaves,baseline,16.642
s_all_comment,count_leaves,dewey,248.382
s_all_comment,count_leaves,prepost,57.249
s_all_comment,check_same_subtree_true,baseline,20.041
s_all_comment,check_same_subtree_true,dewey,103.113
s_all_comment,check_same_subtree_true,prepost,366.824
s_all_comment,all_ancestors,baseline,9.782
s_all_comment,all_ancestors,dewey,357.429
s_all_comment,all_ancestors,prepost,262.603
s_all_comment,check_if_ancestor_true,baseline,48.762
s_all_comment,check_if_ancestor_true,dewey,2.275
s_all_comment,check_if_ancestor_true,prepost,1.799
s_all_comment,check_same_subtree_false,baseline,19.863
s_all_comment,check_same_subtree_false,dewey,109.791
s_all_comment,check_same_subtree_false,prepost,362.915
s_all_comment,check_if_ancestor_false,baseline,54.528
s_all_comment,check_if_ancestor_false,dewey,2.364
s_all_comment,check_if_ancestor_false,prepost,1.855
truebase_100,all_descendants,baseline,8.718
truebase_100,all_descendants,dewey,5.521
truebase_100,all_descendants,prepost,5.262
truebase_100,all_children,baseline,3.768
truebase_100,all_children,dewey,7.131
truebase_100,all_children,prepost,6.175
truebase_100,all_leaves,baseline,13.57
truebase_100,all_leaves,dewey,10.796
truebase_100,all_leaves,prepost,6.812
truebase_100,count_descendants,baseline,10.15
truebase_100,count_descendants,dewey,10.619
truebase_100,count_descendants,prepost,1.198
truebase_100,count_leaves,baseline,18.079
truebase_100,count_leaves,dewey,16.981
truebase_100,count_leaves,prepost,12.277
truebase_100,check_same_subtree_true,baseline,21.823
truebase_100,check_same_subtree_true,dewey,12.14
truebase_100,check_same_subtree_true,prepost,8.073
truebase_100,all_ancestors,baseline,11.6
truebase_100,all_ancestors,dewey,6.167
truebase_100,all_ancestors,prepost,6.852
truebase_100,check_if_ancestor_true,baseline,51.112
truebase_100,check_if_ancestor_true,dewey,2.148
truebase_100,check_if_ancestor_true,prepost,1.691
truebase_100,check_same_subtree_false,baseline,18.97
truebase_100,check_same_subtree_false,dewey,13.848
truebase_100,check_same_subtree_false,prepost,8.228
truebase_100,check_if_ancestor_false,baseline,53.985
truebase_100,check_if_ancestor_false,dewey,2.201
truebase_100,check_if_ancestor_false,prepost,1.749
ultrawide_100000,all_descendants,baseline,288.254
ultrawide_100000,all_descendants,dewey,29.193
ultrawide_100000,all_descendants,prepost,35.163
ultrawide_100000,all_children,baseline,7.555
ultrawide_100000,all_children,dewey,23.833
ultrawide_100000,all_children,prepost,21.48
ultrawide_100000,all_leaves,baseline,290.455
ultrawide_100000,all_leaves,dewey,75.19
ultrawide_100000,all_leaves,prepost,34.762
ultrawide_100000,count_descendants,baseline,245.495
ultrawide_100000,count_descendants,dewey,31.069
ultrawide_100000,count_descendants,prepost,1.066
