graph,query,scenario,run,runtime_ms
artificial_forests_1000_baseline,01_all_descendants,q01_q02,1,17.633
artificial_forests_1000_baseline,01_all_descendants,q01_q02,2,5.723
artificial_forests_1000_baseline,01_all_descendants,q01_q02,3,6.609
artificial_forests_1000_baseline,01_all_descendants,q01_q02,4,6.348
artificial_forests_1000_baseline,01_all_descendants,q01_q02,5,6.119
artificial_forests_1000_dewey,01_all_descendants,q01_q02,1,9.165
artificial_forests_1000_dewey,01_all_descendants,q01_q02,2,2.603
artificial_forests_1000_dewey,01_all_descendants,q01_q02,3,3.089
artificial_forests_1000_dewey,01_all_descendants,q01_q02,4,2.828
artificial_forests_1000_dewey,01_all_descendants,q01_q02,5,3.131
artificial_forests_1000_prepost,01_all_descendants,q01_q02,1,6.784
artificial_forests_1000_prepost,01_all_descendants,q01_q02,2,2.213
artificial_forests_1000_prepost,01_all_descendants,q01_q02,3,2.788
artificial_forests_1000_prepost,01_all_descendants,q01_q02,4,2.515
artificial_forests_1000_prepost,01_all_descendants,q01_q02,5,2.241
artificial_forests_1000_baseline,01_all_descendants,q04,1,5.878
artificial_forests_1000_baseline,01_all_descendants,q04,2,4.812
artificial_forests_1000_baseline,01_all_descendants,q04,3,3.564
artificial_forests_1000_baseline,01_all_descendants,q04,4,3.373
artificial_forests_1000_baseline,01_all_descendants,q04,5,3.313
artificial_forests_1000_dewey,01_all_descendants,q04,1,1.697
artificial_forests_1000_dewey,01_all_descendants,q04,2,1.535
artificial_forests_1000_dewey,01_all_descendants,q04,3,2.235
artificial_forests_1000_dewey,01_all_descendants,q04,4,2.291
artificial_forests_1000_dewey,01_all_descendants,q04,5,2.043
artificial_forests_1000_prepost,01_all_descendants,q04,1,2.366
artificial_forests_1000_prepost,01_all_descendants,q04,2,1.963
artificial_forests_1000_prepost,01_all_descendants,q04,3,2.002
artificial_forests_1000_prepost,01_all_descendants,q04,4,1.666
artificial_forests_1000_prepost,01_all_descendants,q04,5,1.161
artificial_forests_1000_baseline,11_check_if_ancestor,q07,1,25.141
artificial_forests_1000_baseline,11_check_if_ancestor,q07,2,18.027
artificial_forests_1000_baseline,11_check_if_ancestor,q07,3,18.382
artificial_forests_1000_baseline,11_check_if_ancestor,q07,4,19.079
artificial_forests_1000_baseline,11_check_if_ancestor,q07,5,19.839
artificial_forests_1000_dewey,11_check_if_ancestor,q07,1,5.729
artificial_forests_1000_dewey,11_check_if_ancestor,q07,2,1.005
artificial_forests_1000_dewey,11_check_if_ancestor,q07,3,0.960
artificial_forests_1000_dewey,11_check_if_ancestor,q07,4,1.057
artificial_forests_1000_dewey,11_check_if_ancestor,q07,5,0.937
artificial_forests_1000_prepost,11_check_if_ancestor,q07,1,7.403
artificial_forests_1000_prepost,11_check_if_ancestor,q07,2,1.026
artificial_forests_1000_prepost,11_check_if_ancestor,q07,3,0.911
artificial_forests_1000_prepost,11_check_if_ancestor,q07,4,0.884
artificial_forests_1000_prepost,11_check_if_ancestor,q07,5,0.897
artificial_forests_1000_baseline,11_check_if_ancestor,q08,1,23.697
artificial_forests_1000_baseline,11_check_if_ancestor,q08,2,20.779
artificial_forests_1000_baseline,11_check_if_ancestor,q08,3,21.405
artificial_forests_1000_baseline,11_check_if_ancestor,q08,4,21.833
artificial_forests_1000_baseline,11_check_if_ancestor,q08,5,21.627
artificial_forests_1000_dewey,11_check_if_ancestor,q08,1,0.996
artificial_forests_1000_dewey,11_check_if_ancestor,q08,2,0.905
artificial_forests_1000_dewey,11_check_if_ancestor,q08,3,1.057
artificial_forests_1000_dewey,11_check_if_ancestor,q08,4,1.071
artificial_forests_1000_dewey,11_check_if_ancestor,q08,5,0.859
artificial_forests_1000_prepost,11_check_if_ancestor,q08,1,1.045
artificial_forests_1000_prepost,11_check_if_ancestor,q08,2,0.960
artificial_forests_1000_prepost,11_check_if_ancestor,q08,3,0.920
artificial_forests_1000_prepost,11_check_if_ancestor,q08,4,0.853
artificial_forests_1000_prepost,11_check_if_ancestor,q08,5,0.877
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,1,3.732
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,2,3.160
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,3,3.474
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,4,3.540
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,5,2.916
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,1,1.612
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,2,1.443
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,3,1.535
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,4,1.382
artificial_trees_ultrawide_100_dewey,01_all_descendants,q01_q02,5,1.606
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,1,1.800
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,2,1.825
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,3,1.398
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,4,1.270
artificial_trees_ultrawide_100_prepost,01_all_descendants,q01_q02,5,1.506
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,1,2.881
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,2,3.020
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,3,3.535
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,4,2.867
artificial_trees_ultrawide_100_baseline,01_all_descendants,q04,5,3.161
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,1,1.723
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,2,1.499
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,3,1.272
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,4,1.554
artificial_trees_ultrawide_100_dewey,01_all_descendants,q04,5,1.400
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,1,1.497
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,2,1.847
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,3,1.459
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,4,1.631
artificial_trees_ultrawide_100_prepost,01_all_descendants,q04,5,1.545
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,1,20.818
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,2,18.053
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,3,19.110
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,4,18.723
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q07,5,19.864
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,1,1.041
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,2,0.919
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,3,0.917
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,4,0.810
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q07,5,0.801
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,1,1.164
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,2,1.019
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,3,0.861
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,4,0.821
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q07,5,0.941
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,1,21.536
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,2,17.903
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,3,18.359
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,4,18.209
artificial_trees_ultrawide_100_baseline,11_check_if_ancestor,q08,5,18.289
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,1,1.016
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,2,1.021
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,3,0.891
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,4,0.846
artificial_trees_ultrawide_100_dewey,11_check_if_ancestor,q08,5,0.899
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,1,1.066
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,2,0.876
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,3,0.900
artificial_trees_ultrawide_100_prepost,11_check_if_ancestor,q08,4,0.944
