graph,query,run,runtime_ms
snb_sf1_baseline,interactive-complex-12,1,422.863
snb_sf1_baseline,interactive-complex-12,2,393.931
snb_sf1_baseline,interactive-complex-12,3,387.010
snb_sf1_baseline,interactive-complex-12,4,399.548
snb_sf1_baseline,interactive-complex-12,5,384.089
snb_sf1_dewey,interactive-complex-12,1,411.472
snb_sf1_dewey,interactive-complex-12,2,385.926
snb_sf1_dewey,interactive-complex-12,3,366.487
snb_sf1_dewey,interactive-complex-12,4,399.183
snb_sf1_dewey,interactive-complex-12,5,374.683
snb_sf1_prepost,interactive-complex-12,1,447.216
snb_sf1_prepost,interactive-complex-12,2,321.245
snb_sf1_prepost,interactive-complex-12,3,408.948
snb_sf1_prepost,interactive-complex-12,4,400.997
snb_sf1_prepost,interactive-complex-12,5,402.068
snb_sf1_baseline,interactive-short-2,1,46.444
snb_sf1_baseline,interactive-short-2,2,42.020
snb_sf1_baseline,interactive-short-2,3,47.371
snb_sf1_baseline,interactive-short-2,4,34.604
snb_sf1_baseline,interactive-short-2,5,43.376
snb_sf1_dewey,interactive-short-2,1,786.417
snb_sf1_dewey,interactive-short-2,2,707.700
snb_sf1_dewey,interactive-short-2,3,1168.056
snb_sf1_dewey,interactive-short-2,4,689.692
snb_sf1_dewey,interactive-short-2,5,662.576
snb_sf1_prepost,interactive-short-2,1,264.787
snb_sf1_prepost,interactive-short-2,2,269.099
snb_sf1_prepost,interactive-short-2,3,302.385
snb_sf1_prepost,interactive-short-2,4,296.083
snb_sf1_prepost,interactive-short-2,5,261.121
snb_sf1_baseline,interactive-short-6,1,35.312
snb_sf1_baseline,interactive-short-6,2,37.045
snb_sf1_baseline,interactive-short-6,3,20.601
snb_sf1_baseline,interactive-short-6,4,27.746
snb_sf1_baseline,interactive-short-6,5,18.366
snb_sf1_dewey,interactive-short-6,1,114.915
snb_sf1_dewey,interactive-short-6,2,136.826
snb_sf1_dewey,interactive-short-6,3,131.702
snb_sf1_dewey,interactive-short-6,4,128.890
snb_sf1_dewey,interactive-short-6,5,148.005
snb_sf1_prepost,interactive-short-6,1,124.866
snb_sf1_prepost,interactive-short-6,2,130.371
snb_sf1_prepost,interactive-short-6,3,132.883
snb_sf1_prepost,interactive-short-6,4,127.711
snb_sf1_prepost,interactive-short-6,5,148.217
