graph,query,scenario,run,runtime_ms
artificial_forests_1000_baseline,01_all_descendants,q01_q02,1,257.268
artificial_forests_1000_baseline,01_all_descendants,q01_q02,2,29.528
artificial_forests_1000_baseline,01_all_descendants,q01_q02,3,28.577
artificial_forests_1000_baseline,01_all_descendants,q01_q02,4,19.366
artificial_forests_1000_baseline,01_all_descendants,q01_q02,5,30.240
artificial_forests_1000_dewey,01_all_descendants,q01_q02,1,156.978
artificial_forests_1000_dewey,01_all_descendants,q01_q02,2,34.319
artificial_forests_1000_dewey,01_all_descendants,q01_q02,3,28.457
artificial_forests_1000_dewey,01_all_descendants,q01_q02,4,27.379
artificial_forests_1000_dewey,01_all_descendants,q01_q02,5,25.850
artificial_forests_1000_prepost,01_all_descendants,q01_q02,1,158.531
artificial_forests_1000_prepost,01_all_descendants,q01_q02,2,41.476
artificial_forests_1000_prepost,01_all_descendants,q01_q02,3,35.311
artificial_forests_1000_prepost,01_all_descendants,q01_q02,4,35.152
artificial_forests_1000_prepost,01_all_descendants,q01_q02,5,58.327
artificial_forests_1000_baseline,01_all_descendants,q04,1,12.273
artificial_forests_1000_baseline,01_all_descendants,q04,2,1.776
artificial_forests_1000_baseline,01_all_descendants,q04,3,1.765
artificial_forests_1000_baseline,01_all_descendants,q04,4,1.643
artificial_forests_1000_baseline,01_all_descendants,q04,5,1.807
artificial_forests_1000_dewey,01_all_descendants,q04,1,14.481
artificial_forests_1000_dewey,01_all_descendants,q04,2,2.370
artificial_forests_1000_dewey,01_all_descendants,q04,3,1.696
artificial_forests_1000_dewey,01_all_descendants,q04,4,1.725
artificial_forests_1000_dewey,01_all_descendants,q04,5,1.642
artificial_forests_1000_prepost,01_all_descendants,q04,1,11.322
artificial_forests_1000_prepost,01_all_descendants,q04,2,1.752
artificial_forests_1000_prepost,01_all_descendants,q04,3,2.168
artificial_forests_1000_prepost,01_all_descendants,q04,4,1.723
artificial_forests_1000_prepost,01_all_descendants,q04,5,1.876
artificial_forests_1000_baseline,11_check_if_ancestor,q07,1,176.973
artificial_forests_1000_baseline,11_check_if_ancestor,q07,2,2.560
artificial_forests_1000_baseline,11_check_if_ancestor,q07,3,1.730
artificial_forests_1000_baseline,11_check_if_ancestor,q07,4,1.563
artificial_forests_1000_baseline,11_check_if_ancestor,q07,5,1.464
artificial_forests_1000_dewey,11_check_if_ancestor,q07,1,44.201
artificial_forests_1000_dewey,11_check_if_ancestor,q07,2,1.728
artificial_forests_1000_dewey,11_check_if_ancestor,q07,3,1.137
artificial_forests_1000_dewey,11_check_if_ancestor,q07,4,1.098
artificial_forests_1000_dewey,11_check_if_ancestor,q07,5,1.108
artificial_forests_1000_prepost,11_check_if_ancestor,q07,1,51.375
artificial_forests_1000_prepost,11_check_if_ancestor,q07,2,1.551
artificial_forests_1000_prepost,11_check_if_ancestor,q07,3,1.333
artificial_forests_1000_prepost,11_check_if_ancestor,q07,4,1.628
artificial_forests_1000_prepost,11_check_if_ancestor,q07,5,1.242
artificial_forests_1000_baseline,11_check_if_ancestor,q08,1,11.365
artificial_forests_1000_baseline,11_check_if_ancestor,q08,2,1.584
artificial_forests_1000_baseline,11_check_if_ancestor,q08,3,1.655
artificial_forests_1000_baseline,11_check_if_ancestor,q08,4,1.849
artificial_forests_1000_baseline,11_check_if_ancestor,q08,5,2.279
artificial_forests_1000_dewey,11_check_if_ancestor,q08,1,8.677
artificial_forests_1000_dewey,11_check_if_ancestor,q08,2,1.189
artificial_forests_1000_dewey,11_check_if_ancestor,q08,3,1.130
artificial_forests_1000_dewey,11_check_if_ancestor,q08,4,1.144
artificial_forests_1000_dewey,11_check_if_ancestor,q08,5,1.172
artificial_forests_1000_prepost,11_check_if_ancestor,q08,1,9.235
artificial_forests_1000_prepost,11_check_if_ancestor,q08,2,1.646
artificial_forests_1000_prepost,11_check_if_ancestor,q08,3,1.544
artificial_forests_1000_prepost,11_check_if_ancestor,q08,4,1.557
artificial_forests_1000_prepost,11_check_if_ancestor,q08,5,1.523
artificial_trees_ultrawide_100_baseline,01_all_descendants,q01_q02,1,40.346
