graph,query,run,runtime_ms
snb_sf1_baseline,interactive-complex-12,1,1396.561
snb_sf1_baseline,interactive-complex-12,2,179.181
snb_sf1_baseline,interactive-complex-12,3,157.466
snb_sf1_baseline,interactive-complex-12,4,144.596
snb_sf1_baseline,interactive-complex-12,5,141.633
snb_sf1_dewey,interactive-complex-12,1,522.739
snb_sf1_dewey,interactive-complex-12,2,122.172
snb_sf1_dewey,interactive-complex-12,3,119.408
snb_sf1_dewey,interactive-complex-12,4,109.894
snb_sf1_dewey,interactive-complex-12,5,97.434
snb_sf1_prepost,interactive-complex-12,1,402.017
snb_sf1_prepost,interactive-complex-12,2,113.055
snb_sf1_prepost,interactive-complex-12,3,106.318
snb_sf1_prepost,interactive-complex-12,4,105.556
snb_sf1_prepost,interactive-complex-12,5,99.328
snb_sf1_baseline,interactive-short-2,1,141.840
snb_sf1_baseline,interactive-short-2,2,4.510
snb_sf1_baseline,interactive-short-2,3,5.087
snb_sf1_baseline,interactive-short-2,4,4.075
snb_sf1_baseline,interactive-short-2,5,3.546
snb_sf1_dewey,interactive-short-2,1,175.226
snb_sf1_dewey,interactive-short-2,2,4.908
snb_sf1_dewey,interactive-short-2,3,4.259
snb_sf1_dewey,interactive-short-2,4,4.535
snb_sf1_dewey,interactive-short-2,5,4.037
snb_sf1_prepost,interactive-short-2,1,187.072
snb_sf1_prepost,interactive-short-2,2,11.928
snb_sf1_prepost,interactive-short-2,3,10.623
snb_sf1_prepost,interactive-short-2,4,10.652
snb_sf1_prepost,interactive-short-2,5,9.180
snb_sf1_baseline,interactive-short-6,1,72.879
snb_sf1_baseline,interactive-short-6,2,2.158
snb_sf1_baseline,interactive-short-6,3,1.517
snb_sf1_baseline,interactive-short-6,4,1.897
snb_sf1_baseline,interactive-short-6,5,1.495
snb_sf1_dewey,interactive-short-6,1,70.197
snb_sf1_dewey,interactive-short-6,2,2.004
snb_sf1_dewey,interactive-short-6,3,2.950
snb_sf1_dewey,interactive-short-6,4,1.691
snb_sf1_dewey,interactive-short-6,5,1.700
snb_sf1_prepost,interactive-short-6,1,71.761
snb_sf1_prepost,interactive-short-6,2,2.210
snb_sf1_prepost,interactive-short-6,3,1.817
snb_sf1_prepost,interactive-short-6,4,1.721
snb_sf1_prepost,interactive-short-6,5,1.751
