Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
s_all_comment,all_descendants,baseline,7.605
s_all_comment,all_descendants,dewey,290.16
s_all_comment,all_descendants,prepost,160.026
s_all_comment,all_children,baseline,5.389
s_all_comment,all_children,dewey,263.483
s_all_comment,all_children,prepost,160.525
s_all_comment,all_leaves,baseline,20.704
s_all_comment,all_leaves,dewey,478.958
s_all_comment,all_leaves,prepost,208.032
s_all_comment,count_descendants,baseline,8.791
s_all_comment,count_descendants,dewey,96.617
s_all_comment,count_descendants,prepost,0.762
s_all_comment,count_leaves,baseline,18.287
s_all_comment,count_leaves,dewey,243.641
s_all_comment,count_leaves,prepost,50.104
s_all_comment,check_same_subtree_true,baseline,18.886
s_all_comment,check_same_subtree_true,dewey,107.67
s_all_comment,check_same_subtree_true,prepost,353.065
s_all_comment,all_ancestors,baseline,11.476
s_all_comment,all_ancestors,dewey,359.087
s_all_comment,all_ancestors,prepost,250.404
s_all_comment,check_if_ancestor_true,baseline,51.003
s_all_comment,check_if_ancestor_true,dewey,2.177
s_all_comment,check_if_ancestor_true,prepost,1.457
s_all_comment,check_same_subtree_false,baseline,18.887
s_all_comment,check_same_subtree_false,dewey,100.366
s_all_comment,check_same_subtree_false,prepost,352.902
s_all_comment,check_if_ancestor_false,baseline,33.744
s_all_comment,check_if_ancestor_false,dewey,1.372
s_all_comment,check_if_ancestor_false,prepost,1.292
truebase_100,all_descendants,baseline,7.646
truebase_100,all_descendants,dewey,3.923
truebase_100,all_descendants,prepost,4.148
truebase_100,all_children,baseline,6.187
truebase_100,all_children,dewey,3.589
truebase_100,all_children,prepost,7.302
truebase_100,all_leaves,baseline,16.252
truebase_100,all_leaves,dewey,5.672
truebase_100,all_leaves,prepost,6.611
truebase_100,count_descendants,baseline,11.021
truebase_100,count_descendants,dewey,4.27
truebase_100,count_descendants,prepost,0.984
truebase_100,count_leaves,baseline,18.113
truebase_100,count_leaves,dewey,11.204
truebase_100,count_leaves,prepost,12.808
truebase_100,check_same_subtree_true,baseline,19.227
truebase_100,check_same_subtree_true,dewey,8.585
truebase_100,check_same_subtree_true,prepost,6.17
truebase_100,all_ancestors,baseline,6.755
truebase_100,all_ancestors,dewey,2.944
truebase_100,all_ancestors,prepost,2.524
truebase_100,check_if_ancestor_true,baseline,24.633
truebase_100,check_if_ancestor_true,dewey,1.784
truebase_100,check_if_ancestor_true,prepost,1.281
truebase_100,check_same_subtree_false,baseline,7.835
truebase_100,check_same_subtree_false,dewey,5.323
truebase_100,check_same_subtree_false,prepost,3.803
truebase_100,check_if_ancestor_false,baseline,23.675
truebase_100,check_if_ancestor_false,dewey,1.977
truebase_100,check_if_ancestor_false,prepost,1.688
ultrawide_100000,all_descendants,baseline,286.472
ultrawide_100000,all_descendants,dewey,39.831
ultrawide_100000,all_descendants,prepost,33.789
ultrawide_100000,all_children,baseline,5.659
ultrawide_100000,all_children,dewey,24.698
ultrawide_100000,all_children,prepost,12.113
ultrawide_100000,all_leaves,baseline,264.572
ultrawide_100000,all_leaves,dewey,86.179
ultrawide_100000,all_leaves,prepost,39.486
ultrawide_100000,count_descendants,baseline,163.611
ultrawide_100000,count_descendants,dewey,28.944
ultrawide_100000,count_descendants,prepost,0.805
ultrawide_100000,count_leaves,baseline,237.524
ultrawide_100000,count_leaves,dewey,64.784
ultrawide_100000,count_leaves,prepost,20.024
ultrawide_100000,check_same_subtree_true,baseline,21.365
ultrawide_100000,check_same_subtree_true,dewey,18.099
ultrawide_100000,check_same_subtree_true,prepost,33.433
ultrawide_100000,all_ancestors,baseline,16.401
ultrawide_100000,all_ancestors,dewey,31.87
ultrawide_100000,all_ancestors,prepost,18.485
ultrawide_100000,check_if_ancestor_true,baseline,61.057
ultrawide_100000,check_if_ancestor_true,dewey,2.348
ultrawide_100000,check_if_ancestor_true,prepost,1.699
ultrawide_100000,check_same_subtree_false,baseline,24.388
ultrawide_100000,check_same_subtree_false,dewey,18.664
ultrawide_100000,check_same_subtree_false,prepost,41.21
ultrawide_100000,check_if_ancestor_false,baseline,57.45
ultrawide_100000,check_if_ancestor_false,dewey,1.895
ultrawide_100000,check_if_ancestor_false,prepost,1.803
truebase_10000,all_descendants,baseline,47.176
