Rank,Slowdown,Graph Name,Query Name,Annotation Method,Annotated Runtime (ms),Baseline Runtime (ms)
1,48.89274447949526,s_all_comment,all_children,dewey,263.483,5.389
2,38.15384615384615,s_all_comment,all_descendants,dewey,290.16,7.605
3,34.86855582109935,s1,all_children,dewey,102.13,2.929
4,33.08546571136131,s1,all_descendants,dewey,129.298,3.908
5,31.29025792959219,s_all_comment,all_ancestors,dewey,359.087,11.476
6,29.787530154017443,s_all_comment,all_children,prepost,160.525,5.389
7,27.772672951799233,s1,all_ancestors,dewey,209.156,7.531
8,23.635711847046775,s1,all_children,prepost,69.229,2.929
9,23.13359737248841,s_all_comment,all_leaves,dewey,478.958,20.704
10,21.81979783896828,s_all_comment,all_ancestors,prepost,250.404,11.476
11,21.042209072978302,s_all_comment,all_descendants,prepost,160.026,7.605
12,18.694535634861804,s_all_comment,check_same_subtree_true,prepost,353.065,18.886
13,18.684915550378566,s_all_comment,check_same_subtree_false,prepost,352.902,18.887
14,16.153823512097485,s1,all_leaves,dewey,274.405,16.987
15,14.976231576151907,s1,all_ancestors,prepost,112.786,7.531
16,14.84467758444217,s1,all_descendants,prepost,58.013,3.908
17,13.323180401378028,s_all_comment,count_leaves,dewey,243.641,18.287
18,12.917740389734853,s1,count_leaves,dewey,242.621,18.782
19,11.004795396419437,s1,check_same_subtree_false,prepost,206.538,18.768
20,10.990444773063361,s_all_comment,count_descendants,dewey,96.617,8.791
21,10.728155828467889,s1,check_same_subtree_true,prepost,213.147,19.868
22,10.490705192968278,s1,count_descendants,dewey,103.837,9.898
23,10.04791344667697,s_all_comment,all_leaves,prepost,208.032,20.704
24,5.70104839563698,s_all_comment,check_same_subtree_true,dewey,107.67,18.886
25,5.673220375106564,s1,check_same_subtree_false,dewey,106.475,18.768
26,5.335582386363637,truebase_100000,all_children,dewey,30.05,5.632
27,5.3140255201990785,s_all_comment,check_same_subtree_false,dewey,100.366,18.887
28,5.168663176967989,s1,check_same_subtree_true,dewey,102.691,19.868
29,5.041502325307588,s1,all_leaves,prepost,85.64,16.987
30,4.364375331330624,ultrawide_100000,all_children,dewey,24.698,5.659
31,3.397727272727273,truebase_100000,all_children,prepost,19.136,5.632
32,3.2187732935789586,s1,count_leaves,prepost,60.455,18.782
33,3.0666190391141277,ultratall_100000,all_ancestors,dewey,34.34,11.198
34,2.739869852900968,s_all_comment,count_leaves,prepost,50.104,18.287
35,2.40634778721502,ultratall_100000,all_children,prepost,16.149,6.711
36,2.4017285054388315,ultratall_100000,all_children,dewey,16.118,6.711
37,2.3100396704302715,truebase_100000,check_same_subtree_false,prepost,37.85,16.385
38,2.140484184484891,ultrawide_100000,all_children,prepost,12.113,5.659
39,1.9917904141011713,ultratall_100000,check_same_subtree_false,prepost,32.996,16.566
40,1.9431741966953235,ultrawide_100000,all_ancestors,dewey,31.87,16.401
41,1.7357464475761653,truebase_100000,all_ancestors,dewey,29.683,17.101
42,1.6897654584221748,ultrawide_100000,check_same_subtree_false,prepost,41.21,24.388
43,1.5648490521881584,ultrawide_100000,check_same_subtree_true,prepost,33.433,21.365
44,1.5543629586383436,truebase_100000,check_same_subtree_true,prepost,34.611,22.267
45,1.534242837653479,truebase_10,all_children,prepost,5.623,3.665
46,1.5231291302018217,ultratall_100000,all_ancestors,prepost,17.056,11.198
47,1.2624829467939973,truebase_10,all_children,dewey,4.627,3.665
48,1.2031436869981207,s3,all_leaves,dewey,7.042,5.853
49,1.19650450591035,ultratall_100000,check_same_subtree_true,prepost,30.67,25.633
50,1.180216583158235,truebase_100,all_children,prepost,7.302,6.187
51,1.1682774303581582,s3,all_children,prepost,2.055,1.759
52,1.1583990980834273,ultrawide_10,all_children,dewey,2.055,1.774
53,1.140406320541761,ultrawide_10000,all_children,prepost,7.578,6.645
54,1.1388400702987695,ultratall_10000,all_children,dewey,4.536,3.983
55,1.1270654228400707,ultrawide_100000,all_ancestors,prepost,18.485,16.401
56,1.1232876712328765,s2,all_children,prepost,2.214,1.971
57,1.1120948880721684,ultrawide_100,all_leaves,dewey,6.657,5.986
58,1.0892552586696986,s3,all_children,dewey,1.916,1.759
59,1.0882849685244895,ultrawide_10,all_leaves,dewey,7.088,6.513
60,1.076099210822999,ultrawide_10,all_children,prepost,1.909,1.774
61,1.069571136827774,truebase_10000,all_children,dewey,7.856,7.345
62,1.060093101988997,ultratall_10,all_children,prepost,7.515,7.089
63,1.0597187439799653,artificial_forest_40,all_children,dewey,5.501,5.191
64,1.0594222833562585,artificial_forest_1000,all_children,prepost,7.702,7.27
65,1.0459338552484423,s_all_tagclass,count_descendants,dewey,13.093,12.518
66,1.0353780480673644,truebase_100000,all_ancestors,prepost,17.706,17.101
67,1.0242011131261335,ultratall_10,count_leaves,dewey,16.378,15.991
68,1.0205869469995619,s_all_tagclass,all_children,prepost,6.99,6.849
69,1.0202942668696093,s2,all_children,dewey,2.011,1.971
70,1.0163193572683906,ultratall_10000,all_children,prepost,4.048,3.983
71,1.0012253233492172,truebase_10000,all_children,prepost,7.354,7.345
72,0.9858746830858386,ultratall_100000,check_same_subtree_false,dewey,16.332,16.566
73,0.9824802473376846,ultratall_10,count_descendants,dewey,11.44,11.644
74,0.9586611861421022,artificial_forest_40,count_leaves,dewey,16.326,17.03
75,0.9433605361292763,s2,count_leaves,dewey,17.455,18.503
76,0.9393397524071527,artificial_forest_1000,all_children,dewey,6.829,7.27
77,0.9391605468983224,truebase_10,count_leaves,dewey,15.73,16.749
78,0.9348382242287434,ultrawide_10000,all_children,dewey,6.212,6.645
79,0.9330569629970827,ultrawide_10,all_leaves,prepost,6.077,6.513
80,0.9157604102101763,s_all_tagclass,count_leaves,dewey,16.252,17.747
81,0.9142212189616253,ultrawide_100,all_children,prepost,2.025,2.215
82,0.9112349914236707,ultrawide_1000,all_children,prepost,2.125,2.332
83,0.897062646217832,artificial_forest_40,count_descendants,dewey,10.353,11.541
84,0.8831993228946254,ultratall_10,all_children,dewey,6.261,7.089
85,0.8785277932044228,artificial_forest_1000,count_leaves,dewey,17.401,19.807
86,0.8703007518796992,ultrawide_100,count_leaves,dewey,15.279,17.556
87,0.8650112866817156,ultrawide_100,all_children,dewey,1.916,2.215
88,0.8627565455606951,truebase_100000,check_same_subtree_true,dewey,19.211,22.267
