Graph Name,Query Name,Annotation Method,Median Client-Side Runtime
s_all_comment,all_descendants,baseline,1.771
s_all_comment,all_descendants,dewey,1.485
s_all_comment,all_descendants,prepost,1.587
s_all_comment,all_children,baseline,1.004
s_all_comment,all_children,dewey,1.019
s_all_comment,all_children,prepost,1.107
s_all_comment,all_leaves,baseline,1.576
s_all_comment,all_leaves,dewey,1.4
s_all_comment,all_leaves,prepost,1.024
s_all_comment,count_descendants,baseline,0.942
s_all_comment,count_descendants,dewey,0.931
s_all_comment,count_descendants,prepost,0.792
s_all_comment,count_leaves,baseline,1.131
s_all_comment,count_leaves,dewey,0.857
s_all_comment,count_leaves,prepost,0.775
s_all_comment,check_same_subtree_true,baseline,1.565
s_all_comment,check_same_subtree_true,dewey,1.186
s_all_comment,check_same_subtree_true,prepost,673.582
s_all_comment,all_ancestors,baseline,2.377
s_all_comment,all_ancestors,dewey,234.057
s_all_comment,all_ancestors,prepost,664.904
s_all_comment,check_if_ancestor_true,baseline,1.118
s_all_comment,check_if_ancestor_true,dewey,0.759
s_all_comment,check_if_ancestor_true,prepost,0.829
s_all_comment,check_same_subtree_false,baseline,1.53
s_all_comment,check_same_subtree_false,dewey,1.022
s_all_comment,check_same_subtree_false,prepost,671.731
s_all_comment,check_if_ancestor_false,baseline,1.11
s_all_comment,check_if_ancestor_false,dewey,0.737
s_all_comment,check_if_ancestor_false,prepost,0.735
truebase_100,all_descendants,baseline,8.439
truebase_100,all_descendants,dewey,6.681
truebase_100,all_descendants,prepost,6.246
truebase_100,all_children,baseline,2.53
truebase_100,all_children,dewey,3.111
truebase_100,all_children,prepost,2.47
truebase_100,all_leaves,baseline,6.197
truebase_100,all_leaves,dewey,8.106
truebase_100,all_leaves,prepost,7.99
truebase_100,count_descendants,baseline,2.219
truebase_100,count_descendants,dewey,1.924
truebase_100,count_descendants,prepost,2.119
truebase_100,count_leaves,baseline,1.688
truebase_100,count_leaves,dewey,1.861
truebase_100,count_leaves,prepost,1.615
truebase_100,check_same_subtree_true,baseline,2.458
truebase_100,check_same_subtree_true,dewey,1.94
truebase_100,check_same_subtree_true,prepost,1.937
truebase_100,all_ancestors,baseline,2.35
truebase_100,all_ancestors,dewey,3.314
truebase_100,all_ancestors,prepost,2.891
truebase_100,check_if_ancestor_true,baseline,1.914
truebase_100,check_if_ancestor_true,dewey,1.996
truebase_100,check_if_ancestor_true,prepost,1.634
truebase_100,check_same_subtree_false,baseline,1.525
truebase_100,check_same_subtree_false,dewey,1.253
