Rank,Slowdown,Graph Name,Query Name,Annotation Method,Annotated Runtime (ms),Baseline Runtime (ms)
1,439.03986928104575,s_all_comment,check_same_subtree_false,prepost,671.731,1.53
2,430.4038338658147,s_all_comment,check_same_subtree_true,prepost,673.582,1.565
3,315.73533519553075,s1,check_same_subtree_false,prepost,452.133,1.432
4,279.7240218763147,s_all_comment,all_ancestors,prepost,664.904,2.377
5,279.4157991426822,s1,check_same_subtree_true,prepost,456.286,1.633
6,224.03870651641353,s1,all_ancestors,prepost,457.263,2.041
7,110.77609015188634,s1,all_ancestors,dewey,226.094,2.041
8,98.46739587715608,s_all_comment,all_ancestors,dewey,234.057,2.377
9,15.68078348332451,ultratall_100000,all_children,dewey,29.621,1.889
10,13.52249867654844,ultratall_100000,all_children,prepost,25.544,1.889
11,12.61969111969112,ultrawide_100000,all_children,dewey,32.685,2.59
12,12.02424023154848,truebase_100000,all_children,dewey,33.235,2.764
13,10.565250965250966,ultrawide_100000,all_children,prepost,27.364,2.59
14,9.495296671490594,truebase_100000,all_children,prepost,26.245,2.764
15,5.475900116144019,truebase_100000,all_ancestors,dewey,18.859,3.444
16,5.468610973801285,ultratall_10000,all_children,dewey,11.063,2.023
17,4.918674698795181,ultratall_100000,all_ancestors,prepost,21.229,4.316
18,4.729094076655052,truebase_100000,all_ancestors,prepost,16.287,3.444
19,4.117630623079072,ultrawide_100000,all_ancestors,dewey,14.737,3.579
20,4.05980528511822,truebase_10000,all_children,prepost,8.757,2.157
21,4.017153453871117,truebase_10000,all_children,dewey,8.665,2.157
22,3.988630746416214,ultratall_10000,all_children,prepost,8.069,2.023
23,3.765297569153395,ultrawide_100000,all_ancestors,prepost,13.476,3.579
24,3.380908248378128,ultratall_100000,all_ancestors,dewey,14.592,4.316
25,3.100206611570248,truebase_10000,check_same_subtree_true,prepost,6.002,1.936
26,3.054570259208731,ultrawide_10000,all_children,dewey,8.956,2.932
27,3.018417462482947,ultrawide_10000,all_children,prepost,8.85,2.932
28,2.4062140391254316,truebase_1000,all_children,dewey,4.182,1.738
29,2.2338160136286205,ultratall_10000,check_same_subtree_true,prepost,5.245,2.348
30,2.2182923459519204,ultratall_10000,all_ancestors,prepost,8.028,3.619
31,2.1899736147757256,truebase_10000,check_same_subtree_false,prepost,4.98,2.274
32,2.168742368742369,truebase_10000,all_ancestors,prepost,8.881,4.095
33,2.1141326740832302,ultratall_10000,check_same_subtree_false,prepost,5.131,2.427
34,2.11013431013431,truebase_10000,all_ancestors,dewey,8.641,4.095
35,1.9792760431058303,ultratall_10000,all_ancestors,dewey,7.163,3.619
36,1.9431655542328221,ultratall_100000,all_leaves,prepost,3341.279,1719.503
37,1.892877017250974,ultrawide_10000,all_ancestors,prepost,6.803,3.594
38,1.8063700707785642,ultratall_1000,all_children,dewey,3.573,1.978
39,1.705063995548136,ultrawide_10000,all_ancestors,dewey,6.128,3.594
40,1.6244798306555923,truebase_100000,all_leaves,prepost,5238.413,3224.671
41,1.6088686256675488,truebase_100000,all_leaves,dewey,5188.072,3224.671
42,1.5816894284269092,ultrawide_1000,all_children,dewey,3.127,1.977
43,1.5759500489967218,ultratall_10000,all_leaves,dewey,307.17,194.911
